Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2015,Q3,Fire,Slight,33.39
Male,2015,Q3,Traffic,Serious,68.42
Male,2015,Q3,Drowning,Slight,68.11
Male,2021,Q1,Fire,Slight,38.24
Male,2021,Q1,Traffic,Serious,71.33
Male,2021,Q1,Drowning,Slight,71.89
Male,2015,Q3,Fire,Slight,78.38
Male,2015,Q3,Traffic,Serious,15.01
Male,2015,Q3,Drowning,Slight,15.72
Male,2021,Q1,Fire,Slight,52.74
Male,2021,Q1,Traffic,Serious,25.64
Male,2021,Q1,Drowning,Slight,58.94
Male,2015,Q3,Fire,Slight,28.9
Male,2015,Q3,Traffic,Serious,25.34
Male,2015,Q3,Drowning,Slight,95.87
