Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,House,Q4,November,California,Malibu,1.49
Residential,House,Q1,October,Massachusetts,Cambridge,4.76
Residential,House,Q2,December,California,Boston,9.42
Residential,House,Q4,March,Massachusetts,Malibu,10.26
Residential,House,Q1,February,California,Cambridge,17.31
Residential,House,Q2,January,Massachusetts,Boston,20.02
Residential,House,Q4,May,California,Malibu,22.31
Residential,House,Q1,April,Massachusetts,Cambridge,25.88
Residential,House,Q2,June,California,Boston,26.8
Culture,Hotel,Q4,November,California,Malibu,28.15
Culture,Hotel,Q1,October,Massachusetts,Cambridge,30.04
Culture,Hotel,Q2,December,California,Boston,31.47
Culture,Hotel,Q4,March,Massachusetts,Malibu,31.12
Culture,Hotel,Q1,February,California,Cambridge,33.99
Culture,Hotel,Q2,January,Massachusetts,Boston,31.42
Culture,Hotel,Q4,May,California,Malibu,33.11
Culture,Hotel,Q1,April,Massachusetts,Cambridge,36.24
Culture,Hotel,Q2,June,California,Boston,37.11
Residential,Apartment,Q4,November,California,Malibu,37.2
Residential,Apartment,Q1,October,Massachusetts,Cambridge,42.59
Residential,Apartment,Q2,December,California,Boston,43.21
Residential,Apartment,Q4,March,Massachusetts,Malibu,44.98
Residential,Apartment,Q1,February,California,Cambridge,51.34
Residential,Apartment,Q2,January,Massachusetts,Boston,55.69
Residential,Apartment,Q4,May,California,Malibu,56.82
Residential,Apartment,Q1,April,Massachusetts,Cambridge,57.1
Residential,Apartment,Q2,June,California,Boston,56.55
Culture,Theatre,Q4,November,California,Malibu,57.68
Culture,Theatre,Q1,October,Massachusetts,Cambridge,60.59
Culture,Theatre,Q2,December,California,Boston,62.54
Culture,Theatre,Q4,March,Massachusetts,Malibu,64.72
Culture,Theatre,Q1,February,California,Cambridge,65.85
Culture,Theatre,Q2,January,Massachusetts,Boston,65.27
Culture,Theatre,Q4,May,California,Malibu,66.05
Culture,Theatre,Q1,April,Massachusetts,Cambridge,66.2
Culture,Theatre,Q2,June,California,Boston,68.96
Residential,Museum,Q4,November,California,Malibu,67.12
Residential,Museum,Q1,October,Massachusetts,Cambridge,84.32
Residential,Museum,Q2,December,California,Boston,84.0
Residential,Museum,Q4,March,Massachusetts,Malibu,84.19
Residential,Museum,Q1,February,California,Cambridge,90.37
Residential,Museum,Q2,January,Massachusetts,Boston,92.66
Residential,Museum,Q4,May,California,Malibu,93.32
Residential,Museum,Q1,April,Massachusetts,Cambridge,97.55
Residential,Museum,Q2,June,California,Boston,98.62
