Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Hotel,Q1,February,2.87
Residential,Hotel,Q3,March,8.18
Residential,Hotel,Q2,August,9.61
Residential,Hotel,Q1,September,8.62
Residential,Hotel,Q3,July,11.3
Residential,Hotel,Q2,April,12.59
Residential,Hotel,Q1,May,15.37
Residential,Hotel,Q3,June,16.89
Residential,Hotel,Q2,February,15.95
Culture,Apartment,Q1,February,18.31
Culture,Apartment,Q3,March,19.64
Culture,Apartment,Q2,August,22.55
Culture,Apartment,Q1,September,29.37
Culture,Apartment,Q3,July,29.08
Culture,Apartment,Q2,April,44.11
Culture,Apartment,Q1,May,47.61
Culture,Apartment,Q3,June,49.82
Culture,Apartment,Q2,February,53.25
Residential,Concert,Q1,February,53.18
Residential,Concert,Q3,March,55.56
Residential,Concert,Q2,August,57.28
Residential,Concert,Q1,September,61.35
Residential,Concert,Q3,July,65.08
Residential,Concert,Q2,April,68.27
Residential,Concert,Q1,May,69.26
Residential,Concert,Q3,June,75.05
Residential,Concert,Q2,February,81.36
Culture,Theatre,Q1,February,85.22
Culture,Theatre,Q3,March,86.76
Culture,Theatre,Q2,August,87.99
Culture,Theatre,Q1,September,87.85
Culture,Theatre,Q3,July,90.12
Culture,Theatre,Q2,April,93.96
Culture,Theatre,Q1,May,95.98
Culture,Theatre,Q3,June,97.55
Culture,Theatre,Q2,February,98.37
