Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Wind,Storm,0.98
2019,Temperature,Calm,2.75
2019,Humidity,Breeze,3.14
2019,Wind,21-30,4.93
2019,Temperature,31-40,6.13
2019,Humidity,11-20,7.12
2019,Wind,Medium,8.69
2019,Temperature,Low,9.75
2019,Humidity,High,9.17
2022,Wind,Storm,11.46
2022,Temperature,Calm,17.83
2022,Humidity,Breeze,17.13
2022,Wind,21-30,19.95
2022,Temperature,31-40,23.63
2022,Humidity,11-20,22.6
2022,Wind,Medium,22.19
2022,Temperature,Low,25.38
2022,Humidity,High,27.29
