Polluted element,Type of pollution,California_Berkeley_2017,California_Tampa_2016,Florida_Malibu_2019,Florida_Reno_2017,Nevada_Boulder City_2019,Nevada_Fort Lauderdale_2020
Air,,-9.77,-30.69,-30.24,-6.49,16.84,29.71
,  Groundwater,-14.97,49.01,-38.10,29.03,8.90,-62.67
,  Industrial,-3.74,-68.55,-22.29,42.39,26.33,79.04
,  Noise,-10.59,-72.52,-30.33,-90.90,15.29,72.76
Soil,,-8.36,14.17,14.23,38.83,20.50,-10.99
,  Inorganic Fertilizers,-9.04,57.38,-28.43,40.87,22.21,-54.51
,  Oxygen-depletion,-2.65,-66.88,-20.08,42.26,27.11,-45.94
,  Thermal,-13.39,52.02,91.20,33.35,12.18,67.48
Water,,-11.21,-75.92,9.31,34.18,15.32,26.09
,  Inferior Irrigation,-6.47,-69.28,-26.96,41.43,25.19,-52.09
,  Light,-11.63,-72.83,95.40,33.06,14.93,68.21
,  Oxygen-depletion,-15.54,-85.66,-40.52,28.06,5.85,62.16
Average,,-9.78,-30.81,-2.23,22.17,17.55,14.94
,  ,-9.78,-30.81,-2.23,22.17,17.55,14.94
