Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Humidity,Low,2.39
2020,Temperature,High,2.02
2020,Humidity,Medium,7.95
2020,Temperature,11-20,27.89
2020,Humidity,31-40,9.14
2020,Temperature,0-10,10.09
2018,Humidity,Low,11.66
2018,Temperature,High,12.12
2018,Humidity,Medium,13.32
2018,Temperature,11-20,13.06
2018,Humidity,31-40,15.27
2018,Temperature,0-10,16.38
2019,Humidity,Low,13.05
2019,Temperature,High,20.5
2019,Humidity,Medium,21.14
2019,Temperature,11-20,22.23
2019,Humidity,31-40,22.95
2019,Temperature,0-10,27.52
