Polluted element,Type of pollution,Georgia_Albany_2022,Georgia_Hastings_2022,Georgia_Rochester_2022,Minnesota_Columbus_2021,Minnesota_Minneapolis_2021,Average
Air,,11.36,-18.21,-48.30,-90.58,17.40,-25.67
,  Chemical,12.25,-16.98,-6.04,-89.04,17.16,-16.53
,  Thermal,9.10,-24.33,-72.71,-91.68,-50.00,-45.92
,  Urban Activities,12.72,-13.31,-66.15,-91.01,85.03,-14.54
Soil,,13.07,-15.82,-5.29,-68.80,19.49,-11.47
,  Inferior Irrigation,13.54,-10.05,-67.19,-90.66,-40.30,-38.93
,  Light,9.35,-22.86,56.20,-90.98,81.52,6.65
,  Surface water,16.32,-14.57,-4.87,-24.74,17.25,-2.12
Water,,9.66,0.38,-6.61,-27.88,-5.88,-6.07
,  Groundwater,9.71,43.66,-9.08,-26.60,78.84,19.31
,  Noise,12.03,-16.08,-67.60,36.78,-44.40,-15.85
,  Oxygen-depletion,7.23,-26.45,56.84,-93.83,-52.07,-21.66
Average,,11.36,-11.22,-20.07,-62.42,10.34,-14.40
,  ,11.36,-11.22,-20.07,-62.42,10.34,-14.40
