Polluted element,Type of pollution,California_Hastings_2018,California_Malibu_2018,Maryland_Aberdeen_2019,Maryland_Berkeley_2019,Maryland_Minneapolis_2019,Minnesota_Baltimore_2016,Minnesota_Los-Angeles_2016,Minnesota_Rochester_2016
Soil,Chemical,63.05,-57.69,-78.76,-1.48,40.56,-95.49,-31.31,22.19
,Groundwater,44.76,-72.67,-88.27,-23.43,32.91,82.43,-47.19,11.93
,Oxygen-depletion,42.52,-75.86,-92.83,-35.26,28.35,72.45,-52.00,3.23
,Solid Waste,51.08,-69.02,-85.46,-18.02,34.40,90.81,-35.17,16.77
,Urban Activities,58.76,-67.65,-83.11,-14.50,37.82,94.88,-34.97,17.67
Water,Chemical,41.87,-75.59,-93.06,-30.75,27.56,71.96,-55.08,-0.28
,Industrial,61.43,-59.86,-78.65,-5.55,39.52,-98.73,-32.20,19.75
,Inferior Irrigation,39.48,-75.34,-87.66,-19.77,34.25,87.63,-47.35,13.48
,Inorganic Fertilizers,51.38,-67.36,-84.34,-19.18,36.61,92.95,-34.80,17.18
,Surface water,42.94,-75.98,-89.25,-25.86,29.16,78.71,-52.92,7.51
Average,,49.73,-69.70,-86.14,-19.38,34.11,47.76,-42.30,12.94
