Polluted element,Type of pollution,Illinois_Cambridge_2015,Illinois_Champaign_2021,Illinois_Springfield_2015,Massachusetts_Boston_2017,Massachusetts_Chicago_2018,Massachusetts_Lenox_2018
Average,,-39.75,5.27,-3.15,-41.03,22.82,0.35
,  ,-39.75,5.27,-3.15,-41.03,22.82,0.35
Air,,-54.73,-26.15,-16.86,-72.07,56.96,-15.11
,  Groundwater,47.35,-53.14,-2.49,-66.23,98.52,-98.90
,  Light,-84.72,-55.59,-15.95,-69.23,92.10,24.59
,  Oxygen-depletion,-90.58,71.49,-21.46,-73.45,-43.68,6.34
,  Surface water,-90.96,-67.37,-27.55,-79.36,80.90,7.52
Water,,-24.78,36.69,10.57,-10.00,-11.31,15.82
,  Chemical,-89.01,69.20,-22.85,-77.61,81.78,8.21
,  Groundwater,34.66,63.24,98.98,-80.87,-57.59,6.76
,  Noise,-83.75,71.94,-12.86,61.94,-31.93,26.50
,  Thermal,38.98,-57.63,-21.00,56.53,-37.50,21.82
