Polluted element,Type of pollution,Florida_Aberdeen_2018,Florida_Boulder City_2015,Maryland_Columbia_2015,Maryland_Reno_2018,Maryland_Tampa_2018,Nevada_Baltimore_2018,Nevada_Fort Lauderdale_2015,Nevada_Las Vegas_2015
Air,Chemical,-80.95,45.55,88.98,26.11,-21.16,67.96,-44.56,9.78
,Groundwater,-75.90,52.13,99.56,34.00,-15.58,73.56,-38.40,10.82
,Noise,-77.28,49.34,-6.54,30.45,-17.89,68.25,-42.02,9.81
Soil,Light,-69.94,52.74,-2.48,32.15,-12.96,71.75,-39.58,13.12
,Surface water,-75.34,50.92,98.34,34.98,-19.81,72.34,-44.09,9.66
,Urban Activities,-69.66,53.11,-94.73,35.53,-12.07,76.41,-35.32,15.04
Water,Inorganic Fertilizers,-70.24,52.65,99.03,36.13,-13.35,75.18,-36.04,15.92
,Oxygen-depletion,-79.19,49.12,94.82,30.56,-19.31,70.14,-43.30,9.27
,Thermal,-71.66,51.26,-7.20,28.71,-16.69,69.22,-39.97,12.25
Average,,-74.46,50.76,41.09,32.07,-16.54,71.65,-40.36,11.74
