Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Temperature,31-40,1.15
2021,Wind,0-10,1.83
2021,Humidity,21-30,3.37
2021,Temperature,Calm,3.19
2021,Wind,Breeze,6.73
2021,Humidity,Low,7.17
2021,Temperature,High,8.05
2021,Wind,31-40,7.58
2021,Humidity,0-10,6.93
2020,Temperature,31-40,11.26
2020,Wind,0-10,12.38
2020,Humidity,21-30,13.78
2020,Temperature,Calm,11.35
2020,Wind,Breeze,15.94
2020,Humidity,Low,16.9
2020,Temperature,High,17.01
2020,Wind,31-40,14.16
2020,Humidity,0-10,19.0
2022,Temperature,31-40,19.67
2022,Wind,0-10,20.57
2022,Humidity,21-30,22.28
2022,Temperature,Calm,19.25
2022,Wind,Breeze,24.48
2022,Humidity,Low,25.19
2022,Temperature,High,20.78
2022,Wind,31-40,27.04
2022,Humidity,0-10,8.5
