Polluted element,Type of pollution,Georgia_Las Vegas_2020,Georgia_Salem_2018,Georgia_Washington_2017,Nevada_Albany_2022,Nevada_Boulder City_2017,Nevada_Portland_2020,Oregon_Redmond_2022,Oregon_Reno_2018
Air,Chemical,67.78,-66.75,2.02,24.43,83.01,-34.43,-98.39,49.54
,Groundwater,80.03,-44.42,19.66,39.17,-5.59,-2.04,-78.50,63.55
,Light,71.08,-62.46,6.87,26.25,88.53,-25.66,-90.54,55.64
,Urban Activities,79.28,-49.50,9.54,34.59,91.11,-8.89,-82.12,60.96
Soil,Chemical,81.71,-39.64,20.65,48.53,0.11,-1.81,-74.57,60.98
,Inorganic Fertilizers,78.03,-47.87,15.88,35.23,94.74,-7.70,-81.65,59.63
,Noise,77.13,-54.03,7.87,31.98,83.16,-25.92,-86.18,56.93
,Oxygen-depletion,66.61,-64.21,3.34,25.62,86.71,-34.38,-97.20,50.79
Water,Groundwater,66.55,-70.17,2.96,23.24,83.89,-38.64,-99.96,48.25
,Inferior Irrigation,77.50,-46.92,17.80,39.75,-0.11,-5.96,-79.56,61.91
,Surface water,69.58,-63.99,5.12,26.99,85.02,-33.37,-98.83,49.88
,Thermal,77.07,-52.27,9.99,31.67,90.16,-14.72,-83.31,59.91
