Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Concert,Q3,July,Massachusetts,Lenox,0.54
Culture,Concert,Q4,August,Maryland,Boston,4.07
Culture,Concert,Q3,September,Massachusetts,Aberdeen,14.22
Culture,Concert,Q4,October,Maryland,Columbia,16.73
Culture,Concert,Q3,December,Massachusetts,Lenox,18.88
Culture,Concert,Q4,November,Maryland,Boston,19.28
Residential,Museum,Q3,July,Massachusetts,Lenox,25.11
Residential,Museum,Q4,August,Maryland,Boston,26.12
Residential,Museum,Q3,September,Massachusetts,Aberdeen,26.01
Residential,Museum,Q4,October,Maryland,Columbia,31.63
Residential,Museum,Q3,December,Massachusetts,Lenox,32.09
Residential,Museum,Q4,November,Maryland,Boston,32.89
Production,Theatre,Q3,July,Massachusetts,Lenox,35.9
Production,Theatre,Q4,August,Maryland,Boston,35.72
Production,Theatre,Q3,September,Massachusetts,Aberdeen,38.56
Production,Theatre,Q4,October,Maryland,Columbia,39.19
Production,Theatre,Q3,December,Massachusetts,Lenox,40.95
Production,Theatre,Q4,November,Maryland,Boston,40.55
Culture,Hotel,Q3,July,Massachusetts,Lenox,42.99
Culture,Hotel,Q4,August,Maryland,Boston,43.85
Culture,Hotel,Q3,September,Massachusetts,Aberdeen,45.11
Culture,Hotel,Q4,October,Maryland,Columbia,45.05
Culture,Hotel,Q3,December,Massachusetts,Lenox,49.13
Culture,Hotel,Q4,November,Maryland,Boston,51.86
Residential,Apartment,Q3,July,Massachusetts,Lenox,55.66
Residential,Apartment,Q4,August,Maryland,Boston,56.26
Residential,Apartment,Q3,September,Massachusetts,Aberdeen,57.29
Residential,Apartment,Q4,October,Maryland,Columbia,57.35
Residential,Apartment,Q3,December,Massachusetts,Lenox,61.72
Residential,Apartment,Q4,November,Maryland,Boston,62.1
Production,House,Q3,July,Massachusetts,Lenox,65.42
Production,House,Q4,August,Maryland,Boston,65.31
Production,House,Q3,September,Massachusetts,Aberdeen,67.87
Production,House,Q4,October,Maryland,Columbia,67.0
Production,House,Q3,December,Massachusetts,Lenox,69.41
Production,House,Q4,November,Maryland,Boston,66.71
Culture,Factory,Q3,July,Massachusetts,Lenox,76.88
Culture,Factory,Q4,August,Maryland,Boston,77.93
Culture,Factory,Q3,September,Massachusetts,Aberdeen,77.48
Culture,Factory,Q4,October,Maryland,Columbia,80.47
Culture,Factory,Q3,December,Massachusetts,Lenox,81.26
Culture,Factory,Q4,November,Maryland,Boston,84.22
Residential,Workshop,Q3,July,Massachusetts,Lenox,86.97
Residential,Workshop,Q4,August,Maryland,Boston,89.65
Residential,Workshop,Q3,September,Massachusetts,Aberdeen,91.38
Residential,Workshop,Q4,October,Maryland,Columbia,92.17
Residential,Workshop,Q3,December,Massachusetts,Lenox,96.92
Residential,Workshop,Q4,November,Maryland,Boston,98.9
