Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2015,Florida,Tampa,Humidity,High,1.26
2015,Florida,Tampa,Temperature,Low,2.19
2015,Florida,Tampa,Humidity,21-30,3.0
2015,Florida,Tampa,Temperature,0-10,4.09
2021,Maryland,Fort Lauderdale,Humidity,High,5.2
2021,Maryland,Fort Lauderdale,Temperature,Low,5.92
2021,Maryland,Fort Lauderdale,Humidity,21-30,10.39
2021,Maryland,Fort Lauderdale,Temperature,0-10,11.53
2015,Florida,Baltimore,Humidity,High,12.95
2015,Florida,Baltimore,Temperature,Low,12.64
2015,Florida,Baltimore,Humidity,21-30,13.74
2015,Florida,Baltimore,Temperature,0-10,15.21
2021,Maryland,Columbia,Humidity,High,17.99
2021,Maryland,Columbia,Temperature,Low,18.93
2021,Maryland,Columbia,Humidity,21-30,19.01
2021,Maryland,Columbia,Temperature,0-10,17.75
2015,Florida,Aberdeen,Humidity,High,21.92
2015,Florida,Aberdeen,Temperature,Low,17.82
2015,Florida,Aberdeen,Humidity,21-30,26.5
2015,Florida,Aberdeen,Temperature,0-10,27.25
