Characteristic,Intensity,2018_Georgia_Columbus,2018_Georgia_Portland,2020_Oregon_Albany,2020_Oregon_Redmond,Maximum
Humidity,0-10,4.53,24.68,15.77,12.77,24.68
,Breeze,1.43,12.15,12.44,10.22,12.44
,Calm,3.75,27.30,18.13,14.90,27.30
Temperature,11-20,5.55,25.70,12.73,13.61,25.70
,Breeze,10.53,25.17,19.72,16.45,25.17
,Medium,1.27,17.64,13.77,11.61,17.64
Wind,21-30,4.56,26.11,17.70,13.32,26.11
,Calm,0.61,13.84,11.07,10.80,13.84
,Low,3.63,19.26,13.06,12.02,19.26
Maximum,,10.53,27.30,19.72,16.45,27.30
