Polluted element,Type of pollution,Illinois_Chicago_2016,Illinois_Port Huron_2016,Illinois_Redmond_2020,Michigan_Flint_2020,Michigan_Salem_2016,Oregon_Champaign_2020,Oregon_Portland_2016,Average
Air,,8.21,24.41,11.65,40.66,1.23,25.55,-60.03,7.38
,  Chemical,5.09,98.50,49.91,76.52,42.34,14.03,-67.03,31.34
,  Light,7.97,-20.87,-72.16,80.22,44.10,30.28,-58.07,1.64
,  Noise,11.58,-4.40,57.20,-34.77,-82.74,32.33,-54.98,-10.83
Water,,7.25,-25.96,9.53,-5.08,0.06,-19.28,21.85,-1.66
,  Groundwater,3.02,-30.27,-81.21,74.66,40.95,13.00,56.39,10.93
,  Oxygen-depletion,7.70,-28.65,52.80,-54.92,42.98,25.88,-63.32,-2.50
,  Thermal,11.03,-18.95,57.01,-34.99,-83.74,-96.73,72.48,-13.41
Average,,7.73,-0.77,10.59,17.79,0.65,3.13,-19.09,2.86
,  ,7.73,-0.77,10.59,17.79,0.65,3.13,-19.09,2.86
