Polluted element,Type of pollution,Illinois_Flint,Illinois_Lenox,Massachusetts_Boston,Massachusetts_Champaign,Massachusetts_Detroit,Michigan_Cambridge,Michigan_Port Huron,Michigan_Springfield,Average
Air,,-66.63,59.95,8.92,-40.26,85.98,32.75,-86.12,-17.19,-2.82
,  Noise,-73.94,45.72,0.53,-48.84,74.50,24.35,-96.17,-27.73,-12.70
,  Oxygen-depletion,-61.74,64.06,10.24,-33.25,90.54,36.64,-79.90,-13.71,1.61
,  Solid Waste,-69.38,63.26,10.25,-42.25,88.47,32.57,-86.46,-16.46,-2.50
,  Thermal,-57.12,71.27,17.62,-31.79,98.95,40.41,-77.58,-4.79,7.12
,  Urban Activities,-70.96,55.44,5.95,-45.17,77.44,29.76,-90.48,-23.24,-7.66
Soil,,-66.40,61.33,10.71,-38.74,88.37,33.55,-84.70,-15.54,-1.43
,  Chemical,-61.51,68.39,14.44,-33.89,95.01,36.57,-78.07,-11.97,3.62
,  Inferior Irrigation,-56.28,72.48,16.45,-29.49,98.83,41.90,-75.02,-2.33,8.32
,  Inorganic Fertilizers,-69.95,55.43,7.26,-45.31,82.73,30.26,-88.01,-20.75,-6.04
,  Surface water,-71.25,64.33,11.69,-37.96,90.07,33.76,-85.89,-15.38,-1.33
,  Thermal,-73.03,46.02,3.73,-47.03,75.19,25.26,-96.50,-27.27,-11.70
Water,,-64.59,63.73,12.00,-37.93,90.04,34.25,-83.68,-13.89,-0.01
,  Groundwater,-62.92,65.78,12.99,-36.40,90.49,31.48,-80.67,-13.14,0.95
,  Industrial,-71.35,62.39,8.44,-43.33,87.68,31.99,-88.53,-19.11,-3.98
,  Inferior Irrigation,-71.44,46.89,4.79,-46.47,76.62,26.47,-92.05,-25.24,-10.05
,  Noise,-59.90,70.13,16.14,-31.49,96.54,38.90,-77.70,-10.42,5.27
,  Urban Activities,-57.35,73.44,17.64,-31.97,98.85,42.41,-79.47,-1.53,7.75
