Polluted element,Type of pollution,Nevada_Boulder City,Nevada_Portland,Nevada_Reno,Oregon_Las Vegas,Oregon_Salem
Air,,29.86,8.17,5.78,-77.81,24.25
,  Inferior Irrigation,67.72,-20.37,16.46,-78.97,88.93
,  Inorganic Fertilizers,72.03,47.88,-40.28,-75.43,23.05
,  Light,-50.16,-3.00,41.15,-79.04,-39.22
Soil,,-60.99,-0.93,23.54,-36.34,-19.93
,  Industrial,-62.37,-29.40,13.34,-78.50,-42.66
,  Solid Waste,-59.93,42.59,23.02,-79.88,22.82
,  Thermal,-60.68,-15.98,34.26,49.37,-39.96
Average,,-15.57,3.62,14.66,-57.08,2.16
,  ,-15.57,3.62,14.66,-57.08,2.16
