Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Museum,Q1,January,Nevada,Las Vegas,3.43
Culture,Museum,Q2,February,Florida,Fort Lauderdale,5.06
Culture,Museum,Q3,March,Nevada,Tampa,11.26
Culture,Museum,Q1,April,Florida,Las Vegas,15.62
Culture,Museum,Q2,May,Nevada,Fort Lauderdale,16.41
Culture,Museum,Q3,June,Florida,Tampa,17.71
Culture,Museum,Q1,July,Nevada,Las Vegas,18.13
Culture,Museum,Q2,September,Florida,Fort Lauderdale,28.16
Culture,Museum,Q3,August,Nevada,Tampa,30.89
Service,Concert,Q1,January,Nevada,Las Vegas,30.94
Service,Concert,Q2,February,Florida,Fort Lauderdale,35.24
Service,Concert,Q3,March,Nevada,Tampa,43.06
Service,Concert,Q1,April,Florida,Las Vegas,51.84
Service,Concert,Q2,May,Nevada,Fort Lauderdale,52.43
Service,Concert,Q3,June,Florida,Tampa,53.89
Service,Concert,Q1,July,Nevada,Las Vegas,55.05
Service,Concert,Q2,September,Florida,Fort Lauderdale,56.53
Service,Concert,Q3,August,Nevada,Tampa,55.16
Culture,Hospital,Q1,January,Nevada,Las Vegas,63.57
Culture,Hospital,Q2,February,Florida,Fort Lauderdale,0.03
Culture,Hospital,Q3,March,Nevada,Tampa,64.33
Culture,Hospital,Q1,April,Florida,Las Vegas,68.84
Culture,Hospital,Q2,May,Nevada,Fort Lauderdale,69.59
Culture,Hospital,Q3,June,Florida,Tampa,72.86
Culture,Hospital,Q1,July,Nevada,Las Vegas,74.63
Culture,Hospital,Q2,September,Florida,Fort Lauderdale,75.84
Culture,Hospital,Q3,August,Nevada,Tampa,76.23
Service,Administration,Q1,January,Nevada,Las Vegas,79.98
Service,Administration,Q2,February,Florida,Fort Lauderdale,79.92
Service,Administration,Q3,March,Nevada,Tampa,80.56
Service,Administration,Q1,April,Florida,Las Vegas,87.98
Service,Administration,Q2,May,Nevada,Fort Lauderdale,93.2
Service,Administration,Q3,June,Florida,Tampa,94.48
Service,Administration,Q1,July,Nevada,Las Vegas,98.51
Service,Administration,Q2,September,Florida,Fort Lauderdale,98.23
Service,Administration,Q3,August,Nevada,Tampa,99.25
