State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Maryland,Aberdeen,2020,Air,Noise,-0.71
Maryland,Aberdeen,2020,Water,Light,4.69
Maryland,Aberdeen,2020,Soil,Thermal,17.01
Maryland,Aberdeen,2020,Air,Groundwater,20.27
Maryland,Aberdeen,2020,Water,Oxygen-depletion,21.95
Maryland,Aberdeen,2020,Soil,Solid Waste,22.34
Maryland,Aberdeen,2020,Air,Urban Activities,23.28
Maryland,Aberdeen,2020,Water,Inorganic Fertilizers,23.29
Maryland,Aberdeen,2020,Soil,Noise,25.08
Nevada,Baltimore,2015,Air,Noise,31.0
Nevada,Baltimore,2015,Water,Light,35.85
Nevada,Baltimore,2015,Soil,Thermal,-92.27
Nevada,Baltimore,2015,Air,Groundwater,-91.92
Nevada,Baltimore,2015,Water,Oxygen-depletion,39.06
Nevada,Baltimore,2015,Soil,Solid Waste,40.02
Nevada,Baltimore,2015,Air,Urban Activities,-88.92
Nevada,Baltimore,2015,Water,Inorganic Fertilizers,43.25
Nevada,Baltimore,2015,Soil,Noise,44.91
Minnesota,Boulder City,2020,Air,Noise,-84.68
Minnesota,Boulder City,2020,Water,Light,44.44
Minnesota,Boulder City,2020,Soil,Thermal,-81.72
Minnesota,Boulder City,2020,Air,Groundwater,-81.56
Minnesota,Boulder City,2020,Water,Oxygen-depletion,49.81
Minnesota,Boulder City,2020,Soil,Solid Waste,-81.94
Minnesota,Boulder City,2020,Air,Urban Activities,-3.05
Minnesota,Boulder City,2020,Water,Inorganic Fertilizers,-75.79
Minnesota,Boulder City,2020,Soil,Noise,54.53
Maryland,Reno,2015,Air,Noise,-74.85
Maryland,Reno,2015,Water,Light,56.03
Maryland,Reno,2015,Soil,Thermal,-71.28
Maryland,Reno,2015,Air,Groundwater,58.76
Maryland,Reno,2015,Water,Oxygen-depletion,60.32
Maryland,Reno,2015,Soil,Solid Waste,61.72
Maryland,Reno,2015,Air,Urban Activities,62.97
Maryland,Reno,2015,Water,Inorganic Fertilizers,-66.47
Maryland,Reno,2015,Soil,Noise,63.6
Nevada,Las Vegas,2020,Air,Noise,-63.54
Nevada,Las Vegas,2020,Water,Light,-62.88
Nevada,Las Vegas,2020,Soil,Thermal,-64.95
Nevada,Las Vegas,2020,Air,Groundwater,73.02
Nevada,Las Vegas,2020,Water,Oxygen-depletion,-52.98
Nevada,Las Vegas,2020,Soil,Solid Waste,-51.3
Nevada,Las Vegas,2020,Air,Urban Activities,-47.56
Nevada,Las Vegas,2020,Water,Inorganic Fertilizers,82.9
Nevada,Las Vegas,2020,Soil,Noise,-45.5
Minnesota,Minneapolis,2015,Air,Noise,-44.81
Minnesota,Minneapolis,2015,Water,Light,-43.83
Minnesota,Minneapolis,2015,Soil,Thermal,-43.57
Minnesota,Minneapolis,2015,Air,Groundwater,-39.14
Minnesota,Minneapolis,2015,Water,Oxygen-depletion,-38.84
Minnesota,Minneapolis,2015,Soil,Solid Waste,91.13
Minnesota,Minneapolis,2015,Air,Urban Activities,92.64
Minnesota,Minneapolis,2015,Water,Inorganic Fertilizers,93.96
Minnesota,Minneapolis,2015,Soil,Noise,96.0
Maryland,Hastings,2020,Air,Noise,-29.36
Maryland,Hastings,2020,Water,Light,-28.97
Maryland,Hastings,2020,Soil,Thermal,-28.32
Maryland,Hastings,2020,Air,Groundwater,-27.38
Maryland,Hastings,2020,Water,Oxygen-depletion,-5.76
Maryland,Hastings,2020,Soil,Solid Waste,-16.09
Maryland,Hastings,2020,Air,Urban Activities,-5.0
Maryland,Hastings,2020,Water,Inorganic Fertilizers,-3.68
Maryland,Hastings,2020,Soil,Noise,-2.72
