Polluted element,Type of pollution,Florida_Cambridge_2016,Florida_Tampa_2019,Massachusetts_Fort Lauderdale_2021,Massachusetts_Lenox_2017,Average
Air,,6.37,16.04,-49.90,35.70,2.05
,  Inferior Irrigation,72.67,22.98,-81.35,96.05,27.59
,  Solid Waste,-49.46,30.22,-68.28,-9.38,-24.23
,  Surface water,67.19,11.78,43.46,-34.65,21.95
,  Thermal,-64.92,-0.84,-93.43,90.78,-17.10
Soil,,10.30,20.49,21.32,-21.57,7.64
,  Groundwater,-57.98,19.12,47.57,-34.41,-6.42
,  Inorganic Fertilizers,-50.81,22.48,59.86,-11.13,5.10
,  Noise,85.16,31.59,63.98,-4.52,44.05
,  Oxygen-depletion,64.83,8.77,-86.12,-36.21,-12.18
Water,,-57.51,19.82,15.08,6.00,-4.15
,  Chemical,-65.70,19.82,44.24,-33.11,-8.69
,  Industrial,-54.03,23.73,48.41,99.42,29.38
,  Noise,-63.39,4.60,36.37,-36.94,-14.84
,  Thermal,-46.93,31.15,-68.71,-5.36,-22.46
