Quarter,Month,Culture_House,Culture_Museum,Residential_Concert,Residential_Hotel,Residential_Theatre,State,City
Q1,,25.81,75.54,88.22,4.73,54.19,,
,  August,25.81,75.54,88.80,4.73,54.19,Massachusetts,Salem
,  March,27.44,79.96,88.22,7.45,62.69,Oregon,Portland
,  November,42.65,85.28,96.37,14.28,67.74,Massachusetts,Lenox
Q3,,17.92,73.95,87.13,3.90,45.42,,
,  December,32.46,83.22,95.21,14.88,66.62,Oregon,Cambridge
,  February,27.25,78.05,90.68,4.23,62.20,Massachusetts,Lenox
,  September,17.92,73.95,87.13,3.90,45.42,Oregon,Portland
Q4,,26.82,76.90,89.82,3.59,55.21,,
,  January,26.82,76.90,89.82,3.59,55.21,Oregon,Cambridge
,  October,30.36,80.72,92.12,5.07,64.79,Massachusetts,Salem
,  September,42.83,86.18,98.00,16.84,71.47,Oregon,Portland
