Polluted element,Type of pollution,California_Columbia_2021,California_San Francisco_2021,California_Washington_2021,Georgia_Baltimore_2020,Georgia_Berkeley_2020,Georgia_Columbus_2020,Maryland_Aberdeen_2019,Maryland_Albany_2019,Maryland_Malibu_2019
Air,,52.68,-15.12,-79.21,38.52,-37.33,-2.83,15.14,78.36,-55.45
,  Chemical,54.78,-13.01,-74.37,39.93,-35.28,-98.88,18.88,83.98,-52.85
,  Industrial,52.86,-14.40,-78.47,37.17,-36.94,-5.06,16.64,74.66,-55.02
,  Noise,50.41,-17.94,-84.78,38.47,-39.78,95.46,9.91,76.44,-58.47
Soil,,50.81,-17.47,-80.54,36.33,-38.70,-3.28,13.67,75.19,-57.13
,  Inorganic Fertilizers,51.61,-16.39,-80.95,33.39,-38.98,-4.33,15.42,71.27,-57.79
,  Light,50.39,-18.86,-85.71,34.62,-41.06,93.68,8.58,72.06,-58.72
,  Oxygen-depletion,50.43,-17.16,-74.95,40.98,-36.06,-99.18,17.00,82.23,-54.87
Water,,53.05,-13.67,-75.87,38.63,-35.08,1.13,19.27,82.88,-53.83
,  Groundwater,53.70,-10.22,-72.90,42.42,-32.37,-95.26,23.45,85.81,-51.40
,  Solid Waste,53.46,-11.88,-75.72,35.42,-34.95,0.95,17.69,80.04,-54.81
,  Surface water,52.00,-18.91,-79.00,38.05,-37.93,97.71,16.66,82.77,-55.27
Average,,52.18,-15.42,-78.54,37.83,-37.04,-1.66,16.03,78.81,-55.47
,  ,52.18,-15.42,-78.54,37.83,-37.04,-1.66,16.03,78.81,-55.47
