Quarter,Month,Production_Factory,Production_House,Residential_Administration,Residential_Workshop,Service_Hospital,Service_Hotel,Minimum,State,City
Q1,,92.12,50.61,33.13,84.44,4.76,74.20,4.76,,
,  January,98.50,67.86,44.83,84.44,23.73,80.98,23.73,Massachusetts,Detroit
,  June,92.12,50.61,33.13,84.66,4.76,74.20,4.76,Michigan,Cambridge
Q2,,92.22,49.09,28.24,83.57,1.62,72.93,1.62,,
,  July,92.22,49.09,28.24,83.57,1.62,72.93,1.62,Massachusetts,Detroit
,  March,94.38,66.12,44.44,86.46,21.77,74.43,21.77,Michigan,Port Huron
Q3,,91.08,47.39,27.52,82.07,1.68,69.12,1.68,,
,  August,91.08,47.39,27.52,82.07,1.68,69.12,1.68,Michigan,Port Huron
,  May,91.20,52.92,34.04,85.83,15.16,75.00,15.16,Massachusetts,Lenox
Minimum,,91.08,47.39,27.52,82.07,1.62,69.12,1.62,,
,  ,91.08,47.39,27.52,82.07,1.62,69.12,1.62,,
