Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2017,Q3,Traffic,Fatal,97.07
Female,2017,Q3,Fire,Slight,66.75
Female,2017,Q3,Drowning,Fatal,36.72
Female,2018,Q3,Traffic,Fatal,37.55
Female,2018,Q3,Fire,Slight,72.93
Female,2018,Q3,Drowning,Fatal,75.37
Female,2021,Q3,Traffic,Fatal,76.87
Female,2021,Q3,Fire,Slight,28.64
Female,2021,Q3,Drowning,Fatal,46.65
Female,2017,Q3,Traffic,Fatal,92.08
Female,2017,Q3,Fire,Slight,29.53
Female,2017,Q3,Drowning,Fatal,27.64
Female,2018,Q3,Traffic,Fatal,60.32
Female,2018,Q3,Fire,Slight,61.72
Female,2018,Q3,Drowning,Fatal,63.87
