Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Concert,Q3,July,2.84
Culture,Concert,Q2,August,2.2
Culture,Concert,Q1,September,3.06
Culture,Concert,Q3,April,5.75
Culture,Concert,Q2,June,6.68
Culture,Concert,Q1,May,8.53
Culture,Concert,Q3,January,14.29
Culture,Concert,Q2,March,16.99
Culture,Concert,Q1,February,20.64
Production,Museum,Q3,July,21.34
Production,Museum,Q2,August,20.01
Production,Museum,Q1,September,22.68
Production,Museum,Q3,April,24.27
Production,Museum,Q2,June,21.98
Production,Museum,Q1,May,20.52
Production,Museum,Q3,January,27.74
Production,Museum,Q2,March,28.19
Production,Museum,Q1,February,31.11
Service,Factory,Q3,July,32.03
Service,Factory,Q2,August,35.93
Service,Factory,Q1,September,37.51
Service,Factory,Q3,April,38.1
Service,Factory,Q2,June,41.36
Service,Factory,Q1,May,44.7
Service,Factory,Q3,January,45.55
Service,Factory,Q2,March,51.15
Service,Factory,Q1,February,51.27
Culture,Workshop,Q3,July,51.31
Culture,Workshop,Q2,August,54.79
Culture,Workshop,Q1,September,55.58
Culture,Workshop,Q3,April,51.63
Culture,Workshop,Q2,June,51.88
Culture,Workshop,Q1,May,59.27
Culture,Workshop,Q3,January,59.01
Culture,Workshop,Q2,March,61.19
Culture,Workshop,Q1,February,61.24
Production,School,Q3,July,63.5
Production,School,Q2,August,64.4
Production,School,Q1,September,65.41
Production,School,Q3,April,66.62
Production,School,Q2,June,67.04
Production,School,Q1,May,66.0
Production,School,Q3,January,66.5
Production,School,Q2,March,71.51
Production,School,Q1,February,71.07
Service,Library,Q3,July,74.45
Service,Library,Q2,August,74.76
Service,Library,Q1,September,78.6
Service,Library,Q3,April,80.39
Service,Library,Q2,June,81.6
Service,Library,Q1,May,80.95
Service,Library,Q3,January,83.73
Service,Library,Q2,March,80.84
Service,Library,Q1,February,86.87
Culture,Administration,Q3,July,88.08
Culture,Administration,Q2,August,88.27
Culture,Administration,Q1,September,90.02
Culture,Administration,Q3,April,89.68
Culture,Administration,Q2,June,93.05
Culture,Administration,Q1,May,93.65
Culture,Administration,Q3,January,95.74
Culture,Administration,Q2,March,95.3
Culture,Administration,Q1,February,97.21
