Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2015,Q4,Beverage,Juice,769.18
Export,2015,Q4,Dairy,Coffee,387.9
Export,2015,Q4,Meat,Tea,135.96
Export,2015,Q4,Beverage,Yoghurt,265.21
Export,2015,Q4,Dairy,Butter,138.59
Export,2015,Q4,Meat,Cheese,270.53
Export,2015,Q4,Beverage,Camel,531.91
Export,2015,Q4,Dairy,Duck,20.62
Export,2015,Q4,Meat,Juice,924.25
Export,2016,Q4,Beverage,Juice,926.68
Export,2016,Q4,Dairy,Coffee,930.29
Export,2016,Q4,Meat,Tea,295.12
Export,2016,Q4,Beverage,Yoghurt,937.73
Export,2016,Q4,Dairy,Butter,429.77
Export,2016,Q4,Meat,Cheese,942.68
Export,2016,Q4,Beverage,Camel,688.56
Export,2016,Q4,Dairy,Duck,305.68
Export,2016,Q4,Meat,Juice,821.71
Export,2015,Q4,Beverage,Juice,318.04
Export,2015,Q4,Dairy,Coffee,327.61
Export,2015,Q4,Meat,Tea,584.09
Export,2015,Q4,Beverage,Yoghurt,843.38
Export,2015,Q4,Dairy,Butter,474.35
Export,2015,Q4,Meat,Cheese,94.13
Export,2015,Q4,Beverage,Camel,352.37
Export,2015,Q4,Dairy,Duck,992.61
Export,2015,Q4,Meat,Juice,611.58
Export,2016,Q4,Beverage,Juice,365.37
Export,2016,Q4,Dairy,Coffee,366.02
Export,2016,Q4,Meat,Tea,880.94
Export,2016,Q4,Beverage,Yoghurt,113.44
Export,2016,Q4,Dairy,Butter,372.08
Export,2016,Q4,Meat,Cheese,500.43
Export,2016,Q4,Beverage,Camel,374.25
Export,2016,Q4,Dairy,Duck,633.7
Export,2016,Q4,Meat,Juice,506.76
