Characteristic,Intensity,2016_Illinois_Lenox,2016_Maryland_Baltimore,2016_Massachusetts_Chicago,2021_Illinois_Columbia,2021_Maryland_Champaign,2021_Massachusetts_Cambridge,Maximum
Humidity,21-30,2.77,1.84,19.77,7.20,20.94,4.58,20.94
,Calm,14.07,7.54,25.95,15.06,5.57,6.37,25.95
,High,3.19,4.60,16.54,13.37,27.44,4.80,27.44
Temperature,0-10,8.04,0.88,18.93,8.05,25.99,15.79,25.99
,Medium,9.05,2.98,21.72,11.77,24.91,16.41,24.91
,Storm,12.48,6.24,24.74,15.00,27.29,18.74,27.29
Wind,0-10,14.18,7.60,18.61,17.59,27.09,20.11,27.09
,31-40,9.12,1.76,19.67,11.54,27.08,16.06,27.08
,Breeze,10.57,5.89,23.82,13.58,25.21,18.36,25.21
Maximum,,14.18,7.60,25.95,17.59,27.44,20.11,27.44
