Polluted element,Type of pollution,Michigan_Boulder City_2015,Michigan_Detroit_2015,Michigan_Flint_2017,Nevada_Las Vegas_2020,Nevada_Port Huron_2020,Nevada_Reno_2016
Air,Chemical,-35.61,22.73,-65.44,-1.34,37.57,-48.19
,Groundwater,92.13,20.10,-71.18,-8.46,-92.05,77.95
,Solid Waste,-39.43,10.75,59.78,-19.36,31.43,-54.35
,Surface water,-44.29,4.44,-76.28,-29.03,28.71,70.62
Soil,Light,91.71,12.75,61.98,-12.92,35.27,76.49
,Oxygen-depletion,79.24,3.40,49.64,-30.20,21.58,63.85
,Surface water,94.52,21.57,64.96,-2.68,38.66,80.88
,Urban Activities,88.57,8.52,57.85,-25.74,29.76,-56.57
Water,Chemical,-48.22,8.61,-71.55,97.08,-99.92,-57.88
,Groundwater,82.14,1.73,-85.79,-31.20,24.96,-63.26
,Noise,89.52,11.17,-68.40,-18.40,32.89,75.03
,Oxygen-depletion,93.66,21.09,63.47,-3.86,35.07,-49.70
