Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Temperature,11-20,1.84
2017,Wind,21-30,1.3
2017,Humidity,Calm,3.21
2017,Temperature,Storm,4.35
2017,Wind,Breeze,5.45
2017,Humidity,Medium,6.18
2017,Temperature,High,7.09
2017,Wind,11-20,4.37
2017,Humidity,21-30,9.4
2016,Temperature,11-20,11.8
2016,Wind,21-30,11.02
2016,Humidity,Calm,13.13
2016,Temperature,Storm,11.29
2016,Wind,Breeze,17.59
2016,Humidity,Medium,18.95
2016,Temperature,High,18.67
2016,Wind,11-20,20.48
2016,Humidity,21-30,18.9
2018,Temperature,11-20,22.31
2018,Wind,21-30,23.26
2018,Humidity,Calm,24.26
2018,Temperature,Storm,21.14
2018,Wind,Breeze,19.42
2018,Humidity,Medium,27.52
2018,Temperature,High,19.18
2018,Wind,11-20,25.34
2018,Humidity,21-30,21.19
