Polluted element,Type of pollution,Nevada_Boulder City_2016,Nevada_Reno_2016,Nevada_Salem_2016,Oregon_Las Vegas_2022,Oregon_Portland_2022,Average
Air,Industrial,64.15,21.35,-21.65,-81.25,-48.89,-13.26
,Inorganic Fertilizers,61.91,-38.02,-14.46,52.10,91.45,30.60
,Oxygen-depletion,70.30,32.35,-9.70,53.14,-33.59,22.50
,Surface water,61.86,16.10,-5.42,42.36,76.89,38.36
,Thermal,-77.27,4.36,-30.27,35.68,72.13,0.93
Soil,Chemical,72.19,-95.26,-2.04,54.64,97.16,25.34
,Light,-62.90,25.28,-2.58,53.54,-34.83,-4.30
,Oxygen-depletion,-68.57,14.74,-30.16,41.28,73.93,6.24
,Solid Waste,61.50,20.78,-18.65,-78.39,-37.16,-10.38
,Urban Activities,62.32,20.81,-22.72,46.54,-49.48,11.49
Water,Chemical,62.33,18.76,-24.31,42.01,77.42,35.24
,Inferior Irrigation,65.87,20.71,-19.55,-78.75,-38.88,-10.12
,Light,-69.36,8.04,97.29,35.61,73.08,28.93
,Surface water,71.54,-95.52,-5.36,-72.02,94.96,-1.28
,Thermal,-65.19,25.44,-13.51,53.63,91.21,18.32
Average,,20.71,-0.01,-8.21,13.34,33.69,11.91
