State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Nevada,Las Vegas,Soil,Solid Waste,2.33
Nevada,Las Vegas,Air,Industrial,6.21
Nevada,Las Vegas,Soil,Inorganic Fertilizers,8.39
Nevada,Las Vegas,Air,Light,19.27
Nevada,Las Vegas,Soil,Noise,19.67
Nevada,Las Vegas,Air,Thermal,21.26
Massachusetts,Boulder City,Soil,Solid Waste,24.96
Massachusetts,Boulder City,Air,Industrial,26.0
Massachusetts,Boulder City,Soil,Inorganic Fertilizers,26.87
Massachusetts,Boulder City,Air,Light,-98.06
Massachusetts,Boulder City,Soil,Noise,-97.67
Massachusetts,Boulder City,Air,Thermal,-92.47
Illinois,Boston,Soil,Solid Waste,-87.94
Illinois,Boston,Air,Industrial,-87.66
Illinois,Boston,Soil,Inorganic Fertilizers,-84.37
Illinois,Boston,Air,Light,52.32
Illinois,Boston,Soil,Noise,-76.7
Illinois,Boston,Air,Thermal,-74.81
Nevada,Cambridge,Soil,Solid Waste,-69.4
Nevada,Cambridge,Air,Industrial,-68.29
Nevada,Cambridge,Soil,Inorganic Fertilizers,61.26
Nevada,Cambridge,Air,Light,-64.77
Nevada,Cambridge,Soil,Noise,65.65
Nevada,Cambridge,Air,Thermal,67.93
Massachusetts,Lenox,Soil,Solid Waste,68.37
Massachusetts,Lenox,Air,Industrial,69.62
Massachusetts,Lenox,Soil,Inorganic Fertilizers,73.55
Massachusetts,Lenox,Air,Light,-51.91
Massachusetts,Lenox,Soil,Noise,-50.31
Massachusetts,Lenox,Air,Thermal,79.98
Illinois,Chicago,Soil,Solid Waste,80.58
Illinois,Chicago,Air,Industrial,82.16
Illinois,Chicago,Soil,Inorganic Fertilizers,84.52
Illinois,Chicago,Air,Light,-42.08
Illinois,Chicago,Soil,Noise,-42.39
Illinois,Chicago,Air,Thermal,89.94
Nevada,Champaign,Soil,Solid Waste,92.84
Nevada,Champaign,Air,Industrial,93.06
Nevada,Champaign,Soil,Inorganic Fertilizers,-34.75
Nevada,Champaign,Air,Light,-24.12
Nevada,Champaign,Soil,Noise,-21.66
Nevada,Champaign,Air,Thermal,-21.65
Massachusetts,Springfield,Soil,Solid Waste,-20.56
Massachusetts,Springfield,Air,Industrial,-17.06
Massachusetts,Springfield,Soil,Inorganic Fertilizers,-14.35
Massachusetts,Springfield,Air,Light,-10.06
Massachusetts,Springfield,Soil,Noise,-7.14
Massachusetts,Springfield,Air,Thermal,-2.53
