Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q4,November,3.59
Service,Library,Q3,October,4.08
Service,Library,Q4,December,4.25
Service,Library,Q3,July,9.17
Service,Library,Q4,August,11.05
Service,Library,Q3,September,12.95
Culture,Administration,Q4,November,15.13
Culture,Administration,Q3,October,17.55
Culture,Administration,Q4,December,22.0
Culture,Administration,Q3,July,22.64
Culture,Administration,Q4,August,26.6
Culture,Administration,Q3,September,28.51
Service,School,Q4,November,35.51
Service,School,Q3,October,37.19
Service,School,Q4,December,37.56
Service,School,Q3,July,38.87
Service,School,Q4,August,41.86
Service,School,Q3,September,42.54
Culture,Concert,Q4,November,42.2
Culture,Concert,Q3,October,47.16
Culture,Concert,Q4,December,47.62
Culture,Concert,Q3,July,52.76
Culture,Concert,Q4,August,54.03
Culture,Concert,Q3,September,56.56
Service,Museum,Q4,November,57.76
Service,Museum,Q3,October,58.62
Service,Museum,Q4,December,56.15
Service,Museum,Q3,July,60.01
Service,Museum,Q4,August,62.32
Service,Museum,Q3,September,63.95
Culture,Theatre,Q4,November,63.31
Culture,Theatre,Q3,October,68.39
Culture,Theatre,Q4,December,75.8
Culture,Theatre,Q3,July,78.93
Culture,Theatre,Q4,August,78.78
Culture,Theatre,Q3,September,90.26
