Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2016,Florida,Tampa,Temperature,31-40,0.33
2016,Florida,Tampa,Humidity,11-20,1.63
2016,Florida,Tampa,Wind,Low,4.27
2016,Florida,Tampa,Temperature,Medium,5.89
2016,Florida,Tampa,Humidity,Breeze,5.76
2016,Florida,Tampa,Wind,Storm,4.6
2019,Illinois,Fort Lauderdale,Temperature,31-40,7.88
2019,Illinois,Fort Lauderdale,Humidity,11-20,5.85
2019,Illinois,Fort Lauderdale,Wind,Low,11.22
2019,Illinois,Fort Lauderdale,Temperature,Medium,14.09
2019,Illinois,Fort Lauderdale,Humidity,Breeze,17.99
2019,Illinois,Fort Lauderdale,Wind,Storm,18.49
2021,Florida,Springfield,Temperature,31-40,20.98
2021,Florida,Springfield,Humidity,11-20,21.45
2021,Florida,Springfield,Wind,Low,22.05
2021,Florida,Springfield,Temperature,Medium,20.52
2021,Florida,Springfield,Humidity,Breeze,22.42
2021,Florida,Springfield,Wind,Storm,25.29
2016,Illinois,Chicago,Temperature,31-40,25.21
2016,Illinois,Chicago,Humidity,11-20,27.15
2016,Illinois,Chicago,Wind,Low,24.4
2016,Illinois,Chicago,Temperature,Medium,25.93
2016,Illinois,Chicago,Humidity,Breeze,0.23
2016,Illinois,Chicago,Wind,Storm,0.02
