Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2016,Beverage,Juice,512.21
Import,2016,Dairy,Coffee,33.38
Import,2016,Beverage,Tea,642.35
Import,2016,Dairy,Butter,100.72
Import,2016,Beverage,Milk,581.87
Import,2016,Dairy,Juice,298.26
Import,2021,Beverage,Juice,938.87
Import,2021,Dairy,Coffee,429.89
Import,2021,Beverage,Tea,752.11
Import,2021,Dairy,Butter,944.5
Import,2021,Beverage,Milk,849.5
Import,2021,Dairy,Juice,566.04
Import,2016,Beverage,Juice,440.97
Import,2016,Dairy,Coffee,890.67
Import,2016,Beverage,Tea,507.75
Import,2016,Dairy,Butter,605.15
Import,2016,Beverage,Milk,731.82
Import,2016,Dairy,Juice,511.63
