Polluted element,Type of pollution,Florida_Hastings,Florida_Port Huron,Michigan_Flint,Michigan_Tampa,Minnesota_Fort Lauderdale,Minnesota_Rochester
Air,Noise,-48.10,26.74,1.78,-68.65,-87.56,-16.48
,Oxygen-depletion,-39.87,29.29,4.04,-63.48,-83.99,-13.26
,Solid Waste,-35.77,-94.86,3.52,68.26,54.98,-9.64
,Thermal,-30.78,-90.29,15.06,-55.46,57.42,-3.64
Soil,Chemical,85.46,-98.58,3.21,-65.86,-4.81,-15.61
,Noise,-31.04,35.57,13.14,68.84,-2.20,-4.87
,Oxygen-depletion,-18.03,-89.39,25.99,-52.05,-70.63,-1.73
,Surface water,91.07,-96.11,6.52,66.51,-75.04,-10.76
Water,Chemical,-26.35,39.60,20.77,-53.79,58.06,-2.78
,Groundwater,91.61,-99.42,4.54,66.63,0.04,-11.34
,Industrial,97.67,35.77,9.57,69.77,-73.12,-8.44
,Thermal,82.72,29.31,2.75,61.21,41.37,-15.19
Average,,18.22,-31.03,9.24,3.49,-15.46,-9.48
