Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Humidity,High,2.49
2015,Wind,Low,4.26
2015,Temperature,Medium,5.49
2015,Humidity,Calm,5.42
2015,Wind,Storm,5.32
2015,Temperature,Breeze,5.68
2015,Humidity,31-40,9.48
2015,Wind,11-20,8.37
2015,Temperature,21-30,14.28
2018,Humidity,High,17.32
2018,Wind,Low,18.05
2018,Temperature,Medium,20.26
2018,Humidity,Calm,21.52
2018,Wind,Storm,22.54
2018,Temperature,Breeze,22.28
2018,Humidity,31-40,22.12
2018,Wind,11-20,25.78
2018,Temperature,21-30,26.3
