Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Theatre,Q1,February,2.97
Culture,Theatre,Q2,January,4.01
Culture,Theatre,Q1,March,7.12
Culture,Theatre,Q2,April,8.2
Culture,Theatre,Q1,May,7.29
Culture,Theatre,Q2,February,12.98
Production,Museum,Q1,February,13.83
Production,Museum,Q2,January,14.46
Production,Museum,Q1,March,16.91
Production,Museum,Q2,April,17.37
Production,Museum,Q1,May,20.54
Production,Museum,Q2,February,24.7
Service,Concert,Q1,February,25.65
Service,Concert,Q2,January,29.16
Service,Concert,Q1,March,31.09
Service,Concert,Q2,April,31.26
Service,Concert,Q1,May,33.47
Service,Concert,Q2,February,34.14
Culture,Workshop,Q1,February,36.93
Culture,Workshop,Q2,January,39.14
Culture,Workshop,Q1,March,40.84
Culture,Workshop,Q2,April,39.2
Culture,Workshop,Q1,May,42.87
Culture,Workshop,Q2,February,44.23
Production,Factory,Q1,February,45.25
Production,Factory,Q2,January,45.65
Production,Factory,Q1,March,52.59
Production,Factory,Q2,April,55.55
Production,Factory,Q1,May,56.28
Production,Factory,Q2,February,61.06
Service,Library,Q1,February,63.23
Service,Library,Q2,January,64.44
Service,Library,Q1,March,66.91
Service,Library,Q2,April,71.14
Service,Library,Q1,May,76.57
Service,Library,Q2,February,78.71
Culture,School,Q1,February,80.13
Culture,School,Q2,January,81.39
Culture,School,Q1,March,82.31
Culture,School,Q2,April,81.83
Culture,School,Q1,May,83.47
Culture,School,Q2,February,88.07
Production,Administration,Q1,February,89.29
Production,Administration,Q2,January,90.44
Production,Administration,Q1,March,92.17
Production,Administration,Q2,April,96.9
Production,Administration,Q1,May,97.11
Production,Administration,Q2,February,99.66
