Quarter,Month,Production_Hotel,Production_Workshop,Residential_Apartment,Residential_Factory,Residential_House,Minimum,State,City
Q1,,21.04,73.49,5.16,85.58,42.33,5.16,,
,  March,26.88,76.43,6.09,94.71,46.53,6.09,Georgia,Washington
,  November,39.22,80.76,16.60,99.14,51.70,16.60,Nevada,Washington
,  October,21.04,73.49,5.16,85.58,42.33,5.16,Nevada,Washington
Q3,,19.69,69.84,3.36,84.51,41.75,3.36,,
,  December,37.55,79.57,14.34,95.68,51.43,14.34,Georgia,Reno
,  July,24.34,74.19,7.03,93.52,42.37,7.03,Nevada,Reno
,  November,19.69,69.84,3.36,84.51,41.75,3.36,Georgia,Reno
Q4,,16.36,68.80,1.94,82.84,40.23,1.94,,
,  August,24.50,74.90,6.72,87.20,43.30,6.72,Georgia,Boulder City
,  December,16.36,68.80,1.94,82.84,40.23,1.94,Nevada,Boulder City
,  February,30.11,77.29,10.97,94.10,50.13,10.97,Nevada,Boulder City
Minimum,,16.36,68.80,1.94,82.84,40.23,1.94,,
,  ,16.36,68.80,1.94,82.84,40.23,1.94,,
