Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2022,Beverage,Soda,898.8
Import,2022,Dairy,Juice,651.96
Import,2022,Meat,Tea,273.3
Import,2022,Beverage,Cheese,19.24
Import,2022,Dairy,Butter,533.99
Import,2022,Meat,Duck,157.96
Import,2022,Beverage,Chicken,803.53
Import,2022,Dairy,Beef,38.54
Import,2022,Meat,Soda,682.49
Import,2018,Beverage,Soda,939.11
Import,2018,Dairy,Juice,693.63
Import,2018,Meat,Tea,825.52
Import,2018,Beverage,Cheese,576.51
Import,2018,Dairy,Butter,706.61
Import,2018,Meat,Duck,963.19
Import,2018,Beverage,Chicken,579.65
Import,2018,Dairy,Beef,843.88
Import,2018,Meat,Soda,848.55
Import,2022,Beverage,Soda,596.09
Import,2022,Dairy,Juice,343.56
Import,2022,Meat,Tea,94.91
Import,2022,Beverage,Cheese,738.77
Import,2022,Dairy,Butter,109.19
Import,2022,Meat,Duck,878.81
Import,2022,Beverage,Chicken,629.64
Import,2022,Dairy,Beef,635.23
Import,2022,Meat,Soda,894.88
