Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q2,June,1.51
Production,Factory,Q4,April,3.78
Production,Factory,Q1,October,5.54
Production,Factory,Q2,December,12.57
Production,Factory,Q4,November,13.55
Production,Factory,Q1,March,13.12
Production,Factory,Q2,February,17.65
Production,Factory,Q4,January,21.18
Production,Factory,Q1,June,22.84
Service,Workshop,Q2,June,24.06
Service,Workshop,Q4,April,25.88
Service,Workshop,Q1,October,26.03
Service,Workshop,Q2,December,27.77
Service,Workshop,Q4,November,25.57
Service,Workshop,Q1,March,25.73
Service,Workshop,Q2,February,29.93
Service,Workshop,Q4,January,31.66
Service,Workshop,Q1,June,32.58
Culture,Library,Q2,June,25.25
Culture,Library,Q4,April,34.06
Culture,Library,Q1,October,35.45
Culture,Library,Q2,December,36.16
Culture,Library,Q4,November,37.14
Culture,Library,Q1,March,34.35
Culture,Library,Q2,February,38.29
Culture,Library,Q4,January,43.26
Culture,Library,Q1,June,43.71
Production,Hospital,Q2,June,49.22
Production,Hospital,Q4,April,51.48
Production,Hospital,Q1,October,56.69
Production,Hospital,Q2,December,62.68
Production,Hospital,Q4,November,63.83
Production,Hospital,Q1,March,64.71
Production,Hospital,Q2,February,65.81
Production,Hospital,Q4,January,66.22
Production,Hospital,Q1,June,66.69
Service,Concert,Q2,June,68.99
Service,Concert,Q4,April,68.81
Service,Concert,Q1,October,70.66
Service,Concert,Q2,December,72.22
Service,Concert,Q4,November,73.76
Service,Concert,Q1,March,72.53
Service,Concert,Q2,February,75.26
Service,Concert,Q4,January,75.15
Service,Concert,Q1,June,74.34
Culture,Museum,Q2,June,73.05
Culture,Museum,Q4,April,80.32
Culture,Museum,Q1,October,81.13
Culture,Museum,Q2,December,81.93
Culture,Museum,Q4,November,83.89
Culture,Museum,Q1,March,84.99
Culture,Museum,Q2,February,86.16
Culture,Museum,Q4,January,87.73
Culture,Museum,Q1,June,88.16
Production,Theatre,Q2,June,90.35
Production,Theatre,Q4,April,91.28
Production,Theatre,Q1,October,93.44
Production,Theatre,Q2,December,94.66
Production,Theatre,Q4,November,94.03
Production,Theatre,Q1,March,95.29
Production,Theatre,Q2,February,96.54
Production,Theatre,Q4,January,98.14
Production,Theatre,Q1,June,94.57
