Polluted element,Type of pollution,Maryland_Aberdeen_2018,Maryland_Baltimore_2021,Maryland_Boulder City_2021,Nevada_Columbia_2019,Nevada_Las Vegas_2016,Nevada_Reno_2019
Air,,45.20,-16.90,-8.17,59.75,-11.49,15.01
,  Chemical,82.54,-6.91,41.28,98.60,64.74,26.96
,  Industrial,-49.47,-15.49,-6.71,94.94,53.20,16.02
,  Surface water,71.99,-24.12,-99.22,85.48,-84.26,5.34
,  Thermal,75.76,-21.09,31.96,-40.01,-79.64,11.70
Soil,,-18.32,-14.89,2.21,28.99,-41.19,34.77
,  Groundwater,-56.07,-22.14,26.28,-42.04,-82.58,78.18
,  Light,77.23,-17.95,-95.58,92.28,-77.20,14.74
,  Solid Waste,-48.91,-15.60,36.23,95.60,-72.14,19.01
,  Surface water,-45.53,-3.85,41.89,-29.89,67.16,27.15
Water,,-42.56,-18.43,-31.85,-6.24,-46.29,12.94
,  Chemical,-61.42,-28.22,28.73,-44.15,-86.48,3.64
,  Inferior Irrigation,-3.77,-7.38,37.39,-32.19,-70.33,23.04
,  Noise,-50.07,-17.11,-95.82,92.58,52.98,14.07
,  Oxygen-depletion,-55.00,-21.01,-97.71,-41.18,-81.31,11.01
