State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Minnesota,Hastings,2015,Water,Chemical,2.82
Minnesota,Hastings,2015,Air,Surface water,3.27
Minnesota,Hastings,2015,Soil,Groundwater,4.19
Minnesota,Hastings,2015,Water,Oxygen-depletion,9.36
Minnesota,Hastings,2015,Air,Light,11.86
Minnesota,Hastings,2015,Soil,Thermal,13.89
Minnesota,Hastings,2015,Water,Noise,19.79
Minnesota,Hastings,2015,Air,Inferior Irrigation,20.39
Minnesota,Hastings,2015,Soil,Inorganic Fertilizers,22.8
Minnesota,Hastings,2015,Water,Chemical,25.12
Minnesota,Hastings,2015,Air,Surface water,27.84
Minnesota,Hastings,2015,Soil,Groundwater,28.76
Illinois,Rochester,2018,Water,Chemical,28.14
Illinois,Rochester,2018,Air,Surface water,31.07
Illinois,Rochester,2018,Soil,Groundwater,33.2
Illinois,Rochester,2018,Water,Oxygen-depletion,38.6
Illinois,Rochester,2018,Air,Light,40.48
Illinois,Rochester,2018,Soil,Thermal,41.79
Illinois,Rochester,2018,Water,Noise,45.62
Illinois,Rochester,2018,Air,Inferior Irrigation,47.59
Illinois,Rochester,2018,Soil,Inorganic Fertilizers,48.99
Illinois,Rochester,2018,Water,Chemical,50.67
Illinois,Rochester,2018,Air,Surface water,51.72
Illinois,Rochester,2018,Soil,Groundwater,53.87
Massachusetts,Springfield,2015,Water,Chemical,55.54
Massachusetts,Springfield,2015,Air,Surface water,55.05
Massachusetts,Springfield,2015,Soil,Groundwater,57.11
Massachusetts,Springfield,2015,Water,Oxygen-depletion,58.57
Massachusetts,Springfield,2015,Air,Light,59.12
Massachusetts,Springfield,2015,Soil,Thermal,59.51
Massachusetts,Springfield,2015,Water,Noise,62.06
Massachusetts,Springfield,2015,Air,Inferior Irrigation,63.98
Massachusetts,Springfield,2015,Soil,Inorganic Fertilizers,64.46
Massachusetts,Springfield,2015,Water,Chemical,65.5
Massachusetts,Springfield,2015,Air,Surface water,69.01
Massachusetts,Springfield,2015,Soil,Groundwater,73.19
Minnesota,Champaign,2018,Water,Chemical,76.44
Minnesota,Champaign,2018,Air,Surface water,77.4
Minnesota,Champaign,2018,Soil,Groundwater,76.97
Minnesota,Champaign,2018,Water,Oxygen-depletion,83.93
Minnesota,Champaign,2018,Air,Light,95.52
Minnesota,Champaign,2018,Soil,Thermal,97.49
Minnesota,Champaign,2018,Water,Noise,-2.24
Minnesota,Champaign,2018,Air,Inferior Irrigation,-99.67
Minnesota,Champaign,2018,Soil,Inorganic Fertilizers,-98.37
Minnesota,Champaign,2018,Water,Chemical,-96.74
Minnesota,Champaign,2018,Air,Surface water,-96.97
Minnesota,Champaign,2018,Soil,Groundwater,-94.85
Illinois,Chicago,2015,Water,Chemical,-92.77
Illinois,Chicago,2015,Air,Surface water,-88.98
Illinois,Chicago,2015,Soil,Groundwater,-87.95
Illinois,Chicago,2015,Water,Oxygen-depletion,-87.63
Illinois,Chicago,2015,Air,Light,-79.53
Illinois,Chicago,2015,Soil,Thermal,-78.75
Illinois,Chicago,2015,Water,Noise,-76.97
Illinois,Chicago,2015,Air,Inferior Irrigation,-74.65
Illinois,Chicago,2015,Soil,Inorganic Fertilizers,-72.39
Illinois,Chicago,2015,Water,Chemical,-69.09
Illinois,Chicago,2015,Air,Surface water,-67.9
Illinois,Chicago,2015,Soil,Groundwater,-65.9
Massachusetts,Lenox,2018,Water,Chemical,-65.27
Massachusetts,Lenox,2018,Air,Surface water,-63.7
Massachusetts,Lenox,2018,Soil,Groundwater,-58.73
Massachusetts,Lenox,2018,Water,Oxygen-depletion,-53.47
Massachusetts,Lenox,2018,Air,Light,-52.64
Massachusetts,Lenox,2018,Soil,Thermal,-51.39
Massachusetts,Lenox,2018,Water,Noise,-47.7
Massachusetts,Lenox,2018,Air,Inferior Irrigation,-47.04
Massachusetts,Lenox,2018,Soil,Inorganic Fertilizers,-43.69
Massachusetts,Lenox,2018,Water,Chemical,-43.81
Massachusetts,Lenox,2018,Air,Surface water,-38.77
Massachusetts,Lenox,2018,Soil,Groundwater,-37.84
Minnesota,Boston,2015,Water,Chemical,-35.67
Minnesota,Boston,2015,Air,Surface water,-31.71
Minnesota,Boston,2015,Soil,Groundwater,-31.56
Minnesota,Boston,2015,Water,Oxygen-depletion,-29.74
Minnesota,Boston,2015,Air,Light,-26.5
Minnesota,Boston,2015,Soil,Thermal,-23.85
Minnesota,Boston,2015,Water,Noise,-20.23
Minnesota,Boston,2015,Air,Inferior Irrigation,-19.81
Minnesota,Boston,2015,Soil,Inorganic Fertilizers,-10.51
Minnesota,Boston,2015,Water,Chemical,-8.93
Minnesota,Boston,2015,Air,Surface water,-2.18
Minnesota,Boston,2015,Soil,Groundwater,-1.21
