Polluted element,Type of pollution,Maryland_Columbia,Maryland_Port Huron,Michigan_Baltimore,Michigan_Flint,Michigan_Las Vegas,Nevada_Aberdeen,Nevada_Reno,Average
Air,Industrial,-70.41,51.15,-93.23,33.01,-12.60,89.47,-41.03,-6.23
,Oxygen-depletion,-74.72,42.03,99.01,23.12,-19.42,83.79,-44.60,15.60
,Surface water,-89.40,42.95,95.54,10.26,-22.01,70.35,-55.74,7.42
,Thermal,-91.69,39.40,93.20,1.22,-30.65,65.51,-65.17,1.69
Soil,Chemical,-81.81,44.58,99.47,17.46,-19.92,81.91,-46.38,13.62
,Light,-66.70,58.33,-91.19,38.28,-3.55,92.12,-37.25,-1.42
,Noise,-90.73,40.01,96.63,10.47,-22.52,70.06,-56.36,6.79
,Urban Activities,-70.72,49.88,-95.31,32.17,-13.61,87.98,-40.56,-7.17
Water,Groundwater,-86.66,41.95,98.62,12.03,-21.04,76.12,-47.93,10.44
,Inferior Irrigation,-71.96,46.60,-98.17,29.28,-16.18,85.43,-41.39,-9.48
,Light,-89.09,39.89,95.02,9.60,-27.72,68.24,-67.25,4.10
,Thermal,-67.30,54.26,-93.92,36.63,-4.90,89.34,-38.91,-3.54
