Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Museum,Q3,September,Minnesota,Hastings,1.63
Culture,Museum,Q4,July,Minnesota,Hastings,3.27
Culture,Museum,Q2,August,Minnesota,Hastings,8.42
Culture,Museum,Q3,December,Minnesota,Hastings,9.73
Culture,Museum,Q4,October,Minnesota,Hastings,9.21
Culture,Museum,Q2,November,Minnesota,Hastings,12.57
Culture,Museum,Q3,April,Minnesota,Hastings,19.88
Culture,Museum,Q4,June,Minnesota,Hastings,23.01
Culture,Museum,Q2,May,Minnesota,Hastings,26.81
Production,Theatre,Q3,September,Minnesota,Hastings,27.85
Production,Theatre,Q4,July,Minnesota,Hastings,32.92
Production,Theatre,Q2,August,Minnesota,Hastings,32.2
Production,Theatre,Q3,December,Minnesota,Hastings,42.45
Production,Theatre,Q4,October,Minnesota,Hastings,43.22
Production,Theatre,Q2,November,Minnesota,Hastings,51.13
Production,Theatre,Q3,April,Minnesota,Hastings,52.26
Production,Theatre,Q4,June,Minnesota,Hastings,53.52
Production,Theatre,Q2,May,Minnesota,Hastings,57.01
Culture,Workshop,Q3,September,Minnesota,Hastings,58.63
Culture,Workshop,Q4,July,Minnesota,Hastings,65.09
Culture,Workshop,Q2,August,Minnesota,Hastings,67.7
Culture,Workshop,Q3,December,Minnesota,Hastings,70.39
Culture,Workshop,Q4,October,Minnesota,Hastings,73.68
Culture,Workshop,Q2,November,Minnesota,Hastings,73.99
Culture,Workshop,Q3,April,Minnesota,Hastings,75.18
Culture,Workshop,Q4,June,Minnesota,Hastings,76.65
Culture,Workshop,Q2,May,Minnesota,Hastings,73.6
Production,Factory,Q3,September,Minnesota,Hastings,78.41
Production,Factory,Q4,July,Minnesota,Hastings,79.2
Production,Factory,Q2,August,Minnesota,Hastings,83.62
Production,Factory,Q3,December,Minnesota,Hastings,84.09
Production,Factory,Q4,October,Minnesota,Hastings,85.9
Production,Factory,Q2,November,Minnesota,Hastings,87.08
Production,Factory,Q3,April,Minnesota,Hastings,88.51
Production,Factory,Q4,June,Minnesota,Hastings,90.47
Production,Factory,Q2,May,Minnesota,Hastings,99.84
