Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,School,Q1,March,Minnesota,Rochester,1.43
Service,School,Q2,January,Michigan,Flint,3.76
Service,School,Q1,February,Minnesota,Port Huron,4.0
Service,School,Q2,May,Michigan,Rochester,4.4
Service,School,Q1,June,Minnesota,Flint,8.09
Service,School,Q2,April,Michigan,Port Huron,9.14
Production,Library,Q1,March,Minnesota,Rochester,11.81
Production,Library,Q2,January,Michigan,Flint,20.39
Production,Library,Q1,February,Minnesota,Port Huron,23.09
Production,Library,Q2,May,Michigan,Rochester,24.16
Production,Library,Q1,June,Minnesota,Flint,27.37
Production,Library,Q2,April,Michigan,Port Huron,28.63
Residential,Administration,Q1,March,Minnesota,Rochester,29.88
Residential,Administration,Q2,January,Michigan,Flint,27.9
Residential,Administration,Q1,February,Minnesota,Port Huron,34.1
Residential,Administration,Q2,May,Michigan,Rochester,35.62
Residential,Administration,Q1,June,Minnesota,Flint,37.97
Residential,Administration,Q2,April,Michigan,Port Huron,38.33
Service,Factory,Q1,March,Minnesota,Rochester,39.15
Service,Factory,Q2,January,Michigan,Flint,38.91
Service,Factory,Q1,February,Minnesota,Port Huron,44.45
Service,Factory,Q2,May,Michigan,Rochester,47.26
Service,Factory,Q1,June,Minnesota,Flint,48.41
Service,Factory,Q2,April,Michigan,Port Huron,49.75
Production,Workshop,Q1,March,Minnesota,Rochester,50.67
Production,Workshop,Q2,January,Michigan,Flint,53.84
Production,Workshop,Q1,February,Minnesota,Port Huron,56.98
Production,Workshop,Q2,May,Michigan,Rochester,58.07
Production,Workshop,Q1,June,Minnesota,Flint,59.48
Production,Workshop,Q2,April,Michigan,Port Huron,60.93
Residential,House,Q1,March,Minnesota,Rochester,63.18
Residential,House,Q2,January,Michigan,Flint,70.08
Residential,House,Q1,February,Minnesota,Port Huron,72.35
Residential,House,Q2,May,Michigan,Rochester,73.19
Residential,House,Q1,June,Minnesota,Flint,78.08
Residential,House,Q2,April,Michigan,Port Huron,82.96
Service,Apartment,Q1,March,Minnesota,Rochester,83.01
Service,Apartment,Q2,January,Michigan,Flint,83.69
Service,Apartment,Q1,February,Minnesota,Port Huron,82.0
Service,Apartment,Q2,May,Michigan,Rochester,95.3
Service,Apartment,Q1,June,Minnesota,Flint,97.61
Service,Apartment,Q2,April,Michigan,Port Huron,97.21
