Characteristic,Intensity,2020_Massachusetts_Fort Lauderdale,2020_Massachusetts_Lenox,2022_Florida_Cambridge,2022_Florida_Tampa,Maximum
Humidity,0-10,11.96,25.04,17.34,5.68,25.04
,31-40,20.42,17.79,27.24,11.89,27.24
,Medium,14.09,3.10,26.70,7.38,26.70
Temperature,21-30,11.97,26.66,21.78,3.26,26.66
,Calm,13.37,9.22,24.27,6.02,24.27
,Low,18.67,3.29,27.04,9.01,27.04
Wind,21-30,18.08,4.22,27.73,10.74,27.73
,31-40,13.42,6.00,21.15,4.30,21.15
,Breeze,16.06,9.06,21.64,7.84,21.64
Maximum,,20.42,26.66,27.73,11.89,27.73
