Polluted element,Type of pollution,Florida_Detroit_2022,Florida_Las Vegas_2020,Florida_Tampa_2017,Michigan_Boulder City_2022,Michigan_Flint_2017,Michigan_Fort Lauderdale_2021,Nevada_Port Huron_2020,Nevada_Reno_2021
Air,Groundwater,-68.34,-26.69,17.48,-8.83,-59.30,-94.41,47.05,-50.96
,Noise,-71.98,88.53,10.79,-17.32,-62.69,-98.88,40.87,-53.58
,Oxygen-depletion,-74.91,-9.14,7.35,-22.10,63.29,27.63,-89.68,-61.45
Soil,Light,-73.33,-43.58,8.41,-20.75,64.06,29.92,-88.66,68.71
,Oxygen-depletion,-70.69,-23.63,18.80,-7.39,70.33,-93.95,-80.39,70.14
,Urban Activities,58.51,-38.44,12.99,-15.36,67.13,32.96,-88.79,68.46
Water,Groundwater,47.96,80.32,3.56,-22.93,-65.36,20.42,37.14,66.72
,Inorganic Fertilizers,-71.37,-34.63,13.26,-9.31,68.95,32.06,-84.10,73.42
,Thermal,55.65,86.86,10.12,-19.07,-64.11,30.40,41.92,-54.73
Average,,-29.83,8.84,11.42,-15.90,9.14,-12.65,-29.40,14.08
