Polluted element,Type of pollution,Massachusetts_Cambridge,Massachusetts_Lenox,Massachusetts_Reno,Nevada_Boston,Nevada_Boulder City,Nevada_Las Vegas,Average
Air,Inorganic Fertilizers,-63.83,-13.97,40.92,89.22,-98.70,-76.23,-20.43
,Oxygen-depletion,61.85,-21.07,36.97,75.14,12.88,-83.19,13.76
,Thermal,74.00,-4.97,-93.60,-30.85,-95.63,58.45,-15.43
Soil,Groundwater,-69.85,-24.14,36.03,76.49,7.02,45.66,11.87
,Inferior Irrigation,64.68,-15.41,38.22,-39.14,-98.11,-77.84,-21.27
,Noise,67.72,-7.18,-86.85,-30.90,33.79,-71.94,-15.89
Water,Chemical,-69.33,-27.44,-93.08,75.18,-0.31,41.14,-12.31
,Light,-64.23,-10.70,36.69,-37.74,32.96,54.90,1.98
,Solid Waste,58.51,-19.09,30.48,78.49,-98.81,47.64,16.20
Average,,6.61,-16.00,-6.02,28.43,-33.88,-6.82,-4.61
