Polluted element,Type of pollution,Nevada_Portland_2022,Nevada_Reno_2022,Nevada_Salem_2022,Oregon_Las Vegas_2017,Oregon_Redmond_2017
Air,Inorganic Fertilizers,-17.22,-0.01,52.61,40.20,78.09
,Surface water,-18.55,14.78,-9.55,-27.31,14.76
,Thermal,-28.76,8.45,-80.51,30.59,71.51
Soil,Light,-23.12,13.61,52.79,-95.60,74.45
,Oxygen-depletion,-17.91,16.89,-72.62,-90.89,16.78
,Urban Activities,-11.83,24.50,-73.30,-87.40,80.37
Water,Chemical,42.44,13.86,-13.76,33.88,10.95
,Groundwater,-30.79,8.60,-78.46,30.10,67.04
,Noise,-19.64,18.64,53.46,-90.48,-52.85
Average,,-13.93,13.26,-18.82,-28.55,40.12
