Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Factory,Q2,April,Michigan,Flint,1.1
Production,Factory,Q1,June,Michigan,Flint,3.65
Production,Factory,Q4,February,Michigan,Flint,9.32
Production,Factory,Q2,March,Michigan,Flint,10.9
Production,Factory,Q1,December,Michigan,Flint,10.34
Production,Factory,Q4,October,Michigan,Flint,12.44
Production,Factory,Q2,November,Michigan,Flint,10.66
Production,Factory,Q1,April,Michigan,Flint,14.02
Production,Factory,Q4,June,Michigan,Flint,15.73
Culture,Workshop,Q2,April,Michigan,Flint,16.14
Culture,Workshop,Q1,June,Michigan,Flint,17.45
Culture,Workshop,Q4,February,Michigan,Flint,17.66
Culture,Workshop,Q2,March,Michigan,Flint,19.12
Culture,Workshop,Q1,December,Michigan,Flint,21.69
Culture,Workshop,Q4,October,Michigan,Flint,23.94
Culture,Workshop,Q2,November,Michigan,Flint,24.4
Culture,Workshop,Q1,April,Michigan,Flint,25.62
Culture,Workshop,Q4,June,Michigan,Flint,26.99
Service,Theatre,Q2,April,Michigan,Flint,25.89
Service,Theatre,Q1,June,Michigan,Flint,25.53
Service,Theatre,Q4,February,Michigan,Flint,29.56
Service,Theatre,Q2,March,Michigan,Flint,24.77
Service,Theatre,Q1,December,Michigan,Flint,0.11
Service,Theatre,Q4,October,Michigan,Flint,36.01
Service,Theatre,Q2,November,Michigan,Flint,37.37
Service,Theatre,Q1,April,Michigan,Flint,38.53
Service,Theatre,Q4,June,Michigan,Flint,39.4
Production,Concert,Q2,April,Michigan,Flint,41.18
Production,Concert,Q1,June,Michigan,Flint,41.2
Production,Concert,Q4,February,Michigan,Flint,42.52
Production,Concert,Q2,March,Michigan,Flint,41.68
Production,Concert,Q1,December,Michigan,Flint,9.2
Production,Concert,Q4,October,Michigan,Flint,48.84
Production,Concert,Q2,November,Michigan,Flint,49.64
Production,Concert,Q1,April,Michigan,Flint,53.19
Production,Concert,Q4,June,Michigan,Flint,54.63
Culture,Museum,Q2,April,Michigan,Flint,56.53
Culture,Museum,Q1,June,Michigan,Flint,57.07
Culture,Museum,Q4,February,Michigan,Flint,59.7
Culture,Museum,Q2,March,Michigan,Flint,59.11
Culture,Museum,Q1,December,Michigan,Flint,61.44
Culture,Museum,Q4,October,Michigan,Flint,63.12
Culture,Museum,Q2,November,Michigan,Flint,64.93
Culture,Museum,Q1,April,Michigan,Flint,66.59
Culture,Museum,Q4,June,Michigan,Flint,66.68
Service,School,Q2,April,Michigan,Flint,68.35
Service,School,Q1,June,Michigan,Flint,69.7
Service,School,Q4,February,Michigan,Flint,69.22
Service,School,Q2,March,Michigan,Flint,68.57
Service,School,Q1,December,Michigan,Flint,72.12
Service,School,Q4,October,Michigan,Flint,72.66
Service,School,Q2,November,Michigan,Flint,74.0
Service,School,Q1,April,Michigan,Flint,81.96
Service,School,Q4,June,Michigan,Flint,84.84
Production,Library,Q2,April,Michigan,Flint,87.98
Production,Library,Q1,June,Michigan,Flint,87.25
Production,Library,Q4,February,Michigan,Flint,89.52
Production,Library,Q2,March,Michigan,Flint,90.87
Production,Library,Q1,December,Michigan,Flint,89.34
Production,Library,Q4,October,Michigan,Flint,92.03
Production,Library,Q2,November,Michigan,Flint,95.04
Production,Library,Q1,April,Michigan,Flint,96.92
Production,Library,Q4,June,Michigan,Flint,99.87
