Polluted element,Type of pollution,Massachusetts_Lenox_2022,Massachusetts_Port Huron_2022,Michigan_Cambridge_2017,Michigan_Detroit_2017,Michigan_Las Vegas_2017,Nevada_Flint_2020,Nevada_Reno_2020
Air,,-52.11,69.64,-18.65,19.88,71.95,47.40,-85.06
,  Chemical,-56.39,65.58,-23.41,14.96,96.18,43.33,-92.51
,  Industrial,-64.93,58.91,-30.28,7.73,92.43,37.84,-96.88
,  Light,-46.15,68.54,-18.61,23.94,99.87,52.66,-78.36
,  Urban Activities,-40.95,85.53,-2.31,32.90,-0.67,55.79,-72.51
Soil,,-58.12,62.67,-25.75,14.89,93.10,43.78,-89.28
,  Inferior Irrigation,-64.35,60.60,-27.58,13.02,93.57,37.20,-95.90
,  Surface water,-55.90,65.03,-21.10,20.59,96.00,50.67,-86.46
,  Thermal,-42.44,70.85,-19.13,25.14,96.77,54.28,-77.21
,  Urban Activities,-69.81,54.21,-35.20,0.81,86.07,32.97,-97.56
Water,,-55.77,65.14,-21.92,17.36,70.89,45.87,-86.39
,  Groundwater,-63.97,61.79,-26.50,14.28,94.79,42.87,-95.96
,  Noise,-41.04,72.29,-11.08,26.35,-0.92,54.45,-72.72
,  Oxygen-depletion,-53.45,67.57,-19.10,23.37,98.93,51.99,-80.53
,  Solid Waste,-64.64,58.93,-31.00,5.43,90.76,34.15,-96.34
Average,,-55.34,65.82,-22.11,17.38,78.65,45.68,-86.91
,  ,-55.34,65.82,-22.11,17.38,78.65,45.68,-86.91
