Polluted element,Type of pollution,Georgia_Baltimore_2022,Georgia_Columbia_2022,Georgia_Columbus_2022,Maryland_Aberdeen_2015,Maryland_Washington_2015
Air,,-39.55,-14.40,9.08,30.41,39.83
,  Chemical,-72.42,-15.80,6.70,-9.59,37.48
,  Inorganic Fertilizers,-68.44,-4.46,19.99,98.30,46.41
,  Light,50.70,-25.79,-0.65,73.30,33.24
,  Oxygen-depletion,-68.04,-11.54,10.29,-40.35,42.17
Soil,,-2.32,-10.90,-20.18,-6.91,-54.49
,  Groundwater,-69.71,-12.10,8.15,-40.65,-89.67
,  Light,71.95,-1.09,-99.94,-28.38,-78.81
,  Solid Waste,62.05,-6.58,11.60,92.45,-83.84
,  Thermal,-73.58,-23.84,-0.53,-51.08,34.36
Water,,-38.61,-13.28,11.21,29.13,-23.91
,  Industrial,-69.87,-9.46,11.51,89.84,-84.29
,  Inferior Irrigation,-64.86,-3.81,24.16,-6.76,45.33
,  Noise,51.35,-25.38,1.36,74.45,34.00
,  Surface water,-71.04,-14.48,7.81,-40.99,-90.67
