Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Wind,Storm,1.93
2022,Temperature,Breeze,1.12
2022,Humidity,Calm,2.7
2022,Wind,11-20,4.13
2022,Temperature,21-30,5.48
2022,Humidity,High,5.1
2022,Wind,Medium,5.53
2022,Temperature,Low,8.3
2022,Humidity,Storm,9.0
2018,Wind,Storm,11.62
2018,Temperature,Breeze,12.33
2018,Humidity,Calm,14.47
2018,Wind,11-20,15.81
2018,Temperature,21-30,14.41
2018,Humidity,High,17.49
2018,Wind,Medium,17.78
2018,Temperature,Low,19.03
2018,Humidity,Storm,20.68
2017,Wind,Storm,14.71
2017,Temperature,Breeze,22.26
2017,Humidity,Calm,23.96
2017,Wind,11-20,22.47
2017,Temperature,21-30,25.96
2017,Humidity,High,26.81
2017,Wind,Medium,27.23
2017,Temperature,Low,24.67
2017,Humidity,Storm,17.07
