Quarter,Month,Culture_Apartment,Culture_Museum,Culture_Workshop,Production_House,Production_Theatre,Residential_Factory,Residential_Hotel,State,City
Q1,,91.35,2.05,57.51,68.10,21.09,39.43,78.72,,
,  August,94.07,8.28,62.76,70.56,29.94,43.61,83.62,Minnesota,Minneapolis
,  December,91.35,2.05,57.51,68.10,21.09,39.43,78.72,Minnesota,Hastings
,  November,97.23,8.43,65.42,73.14,32.66,47.77,87.26,Minnesota,Hastings
Q3,,92.57,3.19,60.07,68.09,25.03,41.89,75.48,,
,  December,97.55,15.61,62.37,68.09,34.00,51.55,87.66,Minnesota,Minneapolis
,  January,92.57,3.19,60.07,70.48,25.03,41.89,75.48,Minnesota,Minneapolis
,  September,95.14,9.64,63.37,69.03,29.72,45.47,84.87,Minnesota,Hastings
Q4,,68.15,1.62,55.96,68.04,15.25,36.95,77.72,,
,  July,96.38,10.53,64.20,74.86,31.09,47.44,84.00,Minnesota,Minneapolis
,  March,69.81,3.95,61.89,68.97,26.35,42.60,80.24,Minnesota,Hastings
,  November,68.15,1.62,55.96,68.04,15.25,36.95,77.72,Minnesota,Minneapolis
Minimum,,68.15,1.62,55.96,68.04,15.25,36.95,75.48,,
,  ,68.15,1.62,55.96,68.04,15.25,36.95,75.48,,
