Polluted element,Type of pollution,Massachusetts_Boston,Massachusetts_Boulder City,Massachusetts_Cambridge,Nevada_Las Vegas,Nevada_Lenox,Nevada_Reno
Air,,-40.36,3.71,-27.52,-17.11,-18.41,-10.10
,  Industrial,10.25,97.07,-70.41,-27.46,-89.52,80.38
,  Inorganic Fertilizers,-93.25,-22.29,-51.12,-2.49,55.83,-34.21
,  Surface water,19.13,-33.89,65.65,-29.09,-85.94,-45.46
,  Thermal,-97.57,-26.03,-54.19,-9.40,46.01,-41.09
Soil,,11.02,-29.93,0.24,-15.41,-86.33,50.57
,  Inorganic Fertilizers,9.73,-34.16,57.32,-21.03,-92.47,-54.30
,  Light,29.63,-24.39,-53.15,-7.41,-81.66,92.33
,  Oxygen-depletion,-7.78,-27.16,-62.66,-14.76,-84.05,83.77
,  Urban Activities,12.51,-34.01,59.45,-18.45,-87.15,80.49
Water,,-43.56,35.73,34.09,-13.89,13.20,52.91
,  Chemical,-99.89,-27.22,67.20,-10.83,44.31,-42.38
,  Groundwater,10.87,97.39,63.42,-17.68,-86.68,82.58
,  Inferior Irrigation,10.74,96.38,-70.57,-22.47,39.23,79.33
,  Noise,-95.97,-23.63,76.32,-4.57,55.96,92.13
Average,,-24.30,3.17,2.27,-15.47,-30.51,31.13
,  ,-24.30,3.17,2.27,-15.47,-30.51,31.13
