Quarter,Month,Culture_Apartment,Culture_Library,Culture_Museum,Residential_Administration,Residential_Concert,Service_Hospital,Service_Hotel
Q1,,42.47,83.79,0.43,54.43,13.71,69.37,22.63
,  January,42.47,83.79,0.43,54.43,13.71,69.37,22.63
,  May,52.71,94.63,10.56,64.61,18.83,76.61,37.20
,  October,47.19,88.49,7.07,61.89,16.41,73.20,25.74
Q2,,46.08,86.14,6.25,60.45,14.49,70.23,22.37
,  April,50.02,89.42,9.98,61.68,18.16,74.83,28.17
,  February,46.08,86.14,6.25,60.45,14.49,70.23,22.37
,  January,54.07,99.21,12.07,69.28,20.31,82.24,38.47
Q4,,45.89,86.31,1.47,56.67,14.13,68.08,22.17
,  June,53.61,94.13,8.41,68.36,18.58,79.33,38.05
,  March,45.89,86.31,1.47,56.67,14.13,68.08,22.17
,  November,47.76,89.46,8.23,62.89,17.95,70.09,28.76
