Polluted element,Type of pollution,Massachusetts_Cambridge_2022,Massachusetts_Hastings_2018,Massachusetts_Lenox_2018,Minnesota_Boston_2015,Minnesota_Minneapolis_2019,Minnesota_Rochester_2015,Average
Air,,13.79,11.88,16.01,-45.31,81.38,-9.25,11.42
,  Chemical,56.83,97.97,28.13,-86.95,93.70,-1.82,31.31
,  Industrial,-73.61,-32.99,4.36,36.34,66.70,-17.75,-2.82
,  Thermal,58.15,-29.35,15.54,-85.32,83.73,-8.18,5.76
Soil,,-73.85,54.20,14.97,-1.60,30.58,-9.89,2.40
,  Light,-68.58,98.28,27.58,45.31,-41.70,-2.66,9.71
,  Oxygen-depletion,-80.00,-33.91,3.86,-92.32,56.41,-17.46,-27.24
,  Urban Activities,-72.98,98.23,13.47,42.20,77.04,-9.54,24.74
Water,,11.36,53.36,10.75,-2.95,-15.26,27.60,14.14
,  Chemical,48.93,94.38,3.63,35.03,57.55,97.12,56.11
,  Inferior Irrigation,-72.89,-32.67,7.36,40.50,-57.93,-10.61,-21.04
,  Noise,58.03,98.37,21.27,-84.39,-45.40,-3.70,7.36
