Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2017,Meat,Pork,197.07
Import,2017,Cereals,Lamb,521.91
Import,2017,Meat,Beef,201.23
Import,2017,Cereals,Soybeans,282.58
Import,2017,Meat,Corn,76.08
Import,2017,Cereals,Pork,861.79
Import,2020,Meat,Pork,937.93
Import,2020,Cereals,Lamb,720.89
Import,2020,Meat,Beef,401.15
Import,2020,Cereals,Soybeans,272.78
Import,2020,Meat,Corn,83.57
Import,2020,Cereals,Pork,884.1
Import,2017,Meat,Pork,276.42
Import,2017,Cereals,Lamb,116.51
Import,2017,Meat,Beef,184.01
Import,2017,Cereals,Soybeans,56.89
Import,2017,Meat,Corn,315.65
Import,2017,Cereals,Pork,221.88
