Polluted element,Type of pollution,California_Las Vegas,California_Malibu,Illinois_Berkeley,Illinois_Chicago,Illinois_Reno,Nevada_Champaign,Nevada_San Francisco
Air,,70.05,-45.50,-16.35,11.80,-1.77,41.77,-79.88
,  Groundwater,68.28,-44.66,-17.83,13.16,-0.91,40.06,-78.81
,  Inferior Irrigation,76.53,-42.51,-6.46,17.63,-99.61,44.71,-77.70
,  Noise,65.33,-49.33,-24.77,4.62,95.20,40.54,-83.14
Soil,,73.64,-43.63,-11.54,11.65,-32.55,43.04,-77.66
,  Chemical,70.90,-42.53,-15.07,13.50,-0.07,41.59,-74.58
,  Light,72.35,-47.60,-13.94,3.19,-1.77,40.83,-81.17
,  Urban Activities,77.66,-40.77,-5.62,18.26,-95.82,46.69,-77.23
Water,,67.00,-48.79,-17.52,7.88,30.48,39.30,-81.38
,  Industrial,72.44,-46.99,-7.95,7.60,-1.12,41.07,-80.28
,  Oxygen-depletion,61.10,-49.29,-25.84,4.65,94.11,40.31,-83.80
,  Surface water,67.45,-50.10,-18.77,11.38,-1.56,36.52,-80.06
Average,,70.23,-45.98,-15.14,10.44,-1.28,41.37,-79.64
,  ,70.23,-45.98,-15.14,10.44,-1.28,41.37,-79.64
