Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Maryland,Aberdeen,Temperature,31-40,2.35
2017,Maryland,Aberdeen,Humidity,21-30,3.93
2017,Maryland,Aberdeen,Temperature,0-10,2.81
2017,Maryland,Aberdeen,Humidity,High,5.51
2017,Maryland,Aberdeen,Temperature,Medium,6.3
2017,Maryland,Aberdeen,Humidity,31-40,6.09
2020,Illinois,Columbia,Temperature,31-40,5.18
2020,Illinois,Columbia,Humidity,21-30,7.69
2020,Illinois,Columbia,Temperature,0-10,9.7
2020,Illinois,Columbia,Humidity,High,6.91
2020,Illinois,Columbia,Temperature,Medium,11.82
2020,Illinois,Columbia,Humidity,31-40,13.33
2015,Maryland,Baltimore,Temperature,31-40,7.4
2015,Maryland,Baltimore,Humidity,21-30,15.12
2015,Maryland,Baltimore,Temperature,0-10,11.2
2015,Maryland,Baltimore,Humidity,High,17.75
2015,Maryland,Baltimore,Temperature,Medium,18.58
2015,Maryland,Baltimore,Humidity,31-40,19.72
2017,Illinois,Champaign,Temperature,31-40,20.6
2017,Illinois,Champaign,Humidity,21-30,21.18
2017,Illinois,Champaign,Temperature,0-10,21.26
2017,Illinois,Champaign,Humidity,High,23.13
2017,Illinois,Champaign,Temperature,Medium,23.28
2017,Illinois,Champaign,Humidity,31-40,22.05
2020,Maryland,Chicago,Temperature,31-40,25.72
2020,Maryland,Chicago,Humidity,21-30,26.16
2020,Maryland,Chicago,Temperature,0-10,27.47
2020,Maryland,Chicago,Humidity,High,25.16
2020,Maryland,Chicago,Temperature,Medium,24.65
2020,Maryland,Chicago,Humidity,31-40,3.92
