Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q2,May,1.99
Residential,House,Q4,June,1.39
Residential,House,Q2,December,3.79
Residential,House,Q4,October,16.77
Residential,House,Q2,November,21.54
Residential,House,Q4,May,28.02
Service,Hotel,Q2,May,30.95
Service,Hotel,Q4,June,35.16
Service,Hotel,Q2,December,36.27
Service,Hotel,Q4,October,39.99
Service,Hotel,Q2,November,45.43
Service,Hotel,Q4,May,45.02
Residential,School,Q2,May,53.35
Residential,School,Q4,June,55.33
Residential,School,Q2,December,55.41
Residential,School,Q4,October,61.35
Residential,School,Q2,November,61.34
Residential,School,Q4,May,62.42
Service,Administration,Q2,May,71.62
Service,Administration,Q4,June,77.2
Service,Administration,Q2,December,78.16
Service,Administration,Q4,October,77.92
Service,Administration,Q2,November,90.63
Service,Administration,Q4,May,98.96
