Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2019,Q3,Meat,Beef,640.12
Export,2019,Q3,Cereals,Duck,263.23
Export,2019,Q3,Beverage,Seeds,392.9
Export,2019,Q3,Meat,Oats,784.5
Export,2019,Q3,Cereals,Rice,147.09
Export,2019,Q3,Beverage,Tea,793.39
Export,2019,Q3,Meat,Coffee,795.84
Export,2019,Q3,Cereals,Soda,32.27
Export,2019,Q3,Beverage,Beef,34.08
Export,2020,Q3,Meat,Beef,38.56
Export,2020,Q3,Cereals,Duck,299.26
Export,2020,Q3,Beverage,Seeds,940.2
Export,2020,Q3,Meat,Oats,173.91
Export,2020,Q3,Cereals,Rice,685.86
Export,2020,Q3,Beverage,Tea,558.3
Export,2020,Q3,Meat,Coffee,437.84
Export,2020,Q3,Cereals,Soda,67.11
Export,2020,Q3,Beverage,Beef,708.99
Export,2021,Q3,Meat,Beef,837.39
Export,2021,Q3,Cereals,Duck,965.41
Export,2021,Q3,Beverage,Seeds,967.52
Export,2021,Q3,Meat,Oats,324.02
Export,2021,Q3,Cereals,Rice,458.12
Export,2021,Q3,Beverage,Tea,75.22
Export,2021,Q3,Meat,Coffee,202.74
Export,2021,Q3,Cereals,Soda,461.23
Export,2021,Q3,Beverage,Beef,976.16
Export,2019,Q3,Meat,Beef,978.93
Export,2019,Q3,Cereals,Duck,338.49
Export,2019,Q3,Beverage,Seeds,854.42
Export,2019,Q3,Meat,Oats,215.68
Export,2019,Q3,Cereals,Rice,348.79
Export,2019,Q3,Beverage,Tea,733.16
Export,2019,Q3,Meat,Coffee,349.47
Export,2019,Q3,Cereals,Soda,221.13
Export,2019,Q3,Beverage,Beef,608.37
Export,2020,Q3,Meat,Beef,991.65
Export,2020,Q3,Cereals,Duck,102.57
Export,2020,Q3,Beverage,Seeds,747.45
Export,2020,Q3,Meat,Oats,108.99
Export,2020,Q3,Cereals,Rice,239.94
Export,2020,Q3,Beverage,Tea,754.12
Export,2020,Q3,Meat,Coffee,370.91
Export,2020,Q3,Cereals,Soda,244.99
Export,2020,Q3,Beverage,Beef,766.56
