Polluted element,Type of pollution,Georgia_Chicago,Georgia_Washington,Illinois_Boston,Illinois_Champaign,Illinois_Columbus,Massachusetts_Albany,Massachusetts_Cambridge,Massachusetts_Springfield,Average
Air,,72.30,-72.17,92.52,17.19,-43.09,-18.29,-23.16,49.25,9.32
,  Industrial,69.56,-79.30,88.83,6.95,-50.28,-22.38,95.27,44.55,19.15
,  Inorganic Fertilizers,70.29,-76.95,92.89,11.51,-43.75,-23.41,-98.55,43.56,-3.05
,  Oxygen-depletion,77.09,-61.84,95.64,30.00,-34.97,-12.41,-95.94,57.87,6.93
,  Thermal,72.27,-70.59,92.70,20.30,-43.37,-14.96,6.60,51.02,14.25
Soil,,74.59,-71.95,90.94,18.43,-40.87,-15.17,-45.70,51.88,7.77
,  Chemical,79.66,-59.64,92.77,36.30,-32.87,-7.79,-91.53,57.83,9.34
,  Inferior Irrigation,70.54,-85.96,84.28,4.58,-47.63,-22.52,-1.05,44.99,5.90
,  Light,73.46,-69.80,93.26,20.75,-41.68,-14.07,6.96,52.80,15.21
,  Solid Waste,74.70,-72.40,93.47,12.10,-41.29,-16.30,-97.18,51.90,0.62
Water,,76.40,-67.42,93.62,23.06,-39.74,-13.69,-71.24,52.88,6.73
,  Groundwater,75.94,-63.60,94.05,21.18,-41.08,-14.00,-99.09,54.07,3.43
,  Noise,76.23,-70.25,91.50,22.97,-41.66,-13.20,5.09,53.56,15.53
,  Surface water,81.63,-58.89,97.48,36.79,-30.89,-5.24,-91.09,59.88,11.21
,  Urban Activities,71.79,-76.96,91.44,11.32,-45.35,-22.31,-99.87,44.02,-3.24
